window,is_start,is_end,oos_start,oos_end,params,is_num_trades,is_win_rate,is_pf,is_sharpe,oos_num_trades,oos_win_rate,oos_pf,oos_sharpe
1,2017-01-01,2018-01-01,2018-01-01,2018-04-01,"{""entry_lookback"": 30, ""trail_mult"": 5.0, ""regime_lookback"": 200}",102,0.3725,1.7969,1.812,18,0.3889,1.8382,2.1583
2,2017-04-01,2018-04-01,2018-04-01,2018-07-01,"{""entry_lookback"": 30, ""trail_mult"": 5.0, ""regime_lookback"": 100}",100,0.44,1.8471,2.4693,17,0.2941,1.1623,0.5687
3,2017-07-01,2018-07-01,2018-07-01,2018-10-01,"{""entry_lookback"": 30, ""trail_mult"": 5.0, ""regime_lookback"": 100}",100,0.4,1.4876,1.713,18,0.1667,0.2933,-4.58
4,2017-10-01,2018-10-01,2018-10-01,2019-01-01,"{""entry_lookback"": 30, ""trail_mult"": 5.0, ""regime_lookback"": 100}",98,0.3265,1.2611,1.0522,15,0.2667,1.5696,1.3452
5,2018-01-01,2019-01-01,2019-01-01,2019-04-01,"{""entry_lookback"": 30, ""trail_mult"": 5.0, ""regime_lookback"": 200}",84,0.2738,1.2415,0.8734,7,0.1429,1.4455,0.6138
6,2018-04-01,2019-04-01,2019-04-01,2019-07-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 200}",64,0.2344,1.163,0.5627,21,0.2381,1.0564,0.3712
7,2018-07-01,2019-07-01,2019-07-01,2019-10-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 100}",68,0.25,1.1908,0.6001,15,0.2667,1.6128,1.4336
8,2018-10-01,2019-10-01,2019-10-01,2020-01-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 100}",74,0.2432,1.0955,0.473,10,0.4,1.6913,1.2066
