pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,sig_type,category,tp_display,sl_display,session,has_lowvol,has_breakeven,has_trailing,max_bars,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.9243,43.3,0.97,0.0,-0.22,63.1,97,9,4,-0.0023,1.2104,atr_break_18d2a8c4,GBPJPY,M1,atr_break,breakout,5p,10p,london,False,True,True,15,1.1,-0.26,24,0.04,73,0.0,0
1.632,59.38,0.29,0.0,0.44,60.0,32,4,4,0.0137,1.1167,hilo_break_d8175b66,GBPJPY,M1,hilo_break,breakout,5p,5p,newyork,True,True,False,60,1.0,0.0,0,0.14,12,0.29,20
0.9165,36.45,10.17,0.01,-6.79,280.0,1133,12,6,-0.006,1.5977,rsi_reversal_05b14716,GBPJPY,M1,rsi_reversal,mean_reversion,ATR×1.5,ATR×1.0,newyork,True,False,False,60,4.7,0.0,0,-4.94,421,-1.85,712
0.682,52.08,7.25,0.01,-5.69,262.2,265,6,7,-0.0215,0.6276,hilo_break_c5647820,GBPJPY,M1,hilo_break,breakout,ATR×2.0,ATR×1.5,newyork,True,True,False,60,4.4,0.0,0,0.25,95,-5.95,170
0.9463,49.77,5.0,0.01,-1.2,189.3,432,10,12,-0.0028,0.9551,donchian_break_e1610c76,GBPJPY,M1,donchian_break,breakout,ATR×1.5,ATR×1.0,newyork,False,True,False,15,3.2,0.0,0,2.63,148,-3.82,284
1.1221,52.78,0.65,0.0,0.13,68.3,36,5,6,0.0036,1.004,hilo_break_ce48ca49,GBPJPY,M1,hilo_break,breakout,15p,5p,london,True,True,False,15,1.1,0.2,9,-0.07,27,0.0,0
0.7047,46.26,7.24,0.01,-6.86,69.7,642,7,7,-0.0107,0.8186,bb_bounce_1a152702,GBPJPY,M1,bb_bounce,mean_reversion,5p,15p,newyork,False,True,True,15,1.2,0.0,0,-1.9,220,-4.96,422
0.7619,46.58,27.89,0.03,-27.49,63.4,3448,14,9,-0.008,0.8738,rsi_reversal_72a9e3b0,GBPJPY,M1,rsi_reversal,mean_reversion,5p,10p,newyork,False,False,True,30,1.1,0.0,0,-15.75,1217,-11.74,2231
0.745,44.98,11.0,0.01,-10.81,60.7,1274,14,9,-0.0085,0.9114,bb_bounce_ccd1411c,GBPJPY,M1,bb_bounce,mean_reversion,5p,5p,newyork,True,False,True,15,1.0,0.0,0,-5.33,467,-5.49,807
0.8546,27.33,14.32,0.01,-10.99,1154.4,516,15,4,-0.0213,2.2729,rsi_reversal_ad17c837,GBPJPY,M1,rsi_reversal,mean_reversion,ATR×3.0,ATR×1.5,newyork,True,False,False,0,19.2,0.0,0,-5.38,195,-5.6,321
1.0572,51.79,1.58,0.0,0.39,280.2,112,8,8,0.0035,0.9843,bb_bounce_a07ea756,GBPJPY,M1,bb_bounce,mean_reversion,ATR×3.0,ATR×1.5,london,True,True,True,60,4.7,0.63,15,-0.24,97,0.0,0
inf,100.0,0.0,0.0,0.05,120.0,1,0,1,0.054,0.0,atr_break_cb5e1a1c,GBPJPY,M1,atr_break,breakout,ATR×2.0,ATR×1.0,newyork,True,True,False,30,2.0,0.0,0,0.0,0,0.05,1
1.0751,49.45,1.04,0.0,0.67,509.0,91,5,4,0.0074,1.099,bb_bounce_815cd7c6,GBPJPY,M1,bb_bounce,mean_reversion,ATR×2.0,ATR×1.5,newyork,True,False,False,15,8.5,0.0,0,0.82,37,-0.15,54
0.7907,46.05,12.25,0.01,-11.92,71.5,1583,11,8,-0.0075,0.9263,rsi_reversal_729391cf,GBPJPY,M1,rsi_reversal,mean_reversion,10p,10p,london,True,True,False,30,1.2,-2.71,359,-9.21,1224,0.0,0
0.661,43.85,3.79,0.0,-3.53,63.0,301,8,7,-0.0117,0.8462,donchian_break_09a319fc,GBPJPY,M1,donchian_break,breakout,7p,7p,newyork,True,True,True,30,1.1,0.0,0,-0.31,117,-3.22,184
0.6502,43.87,13.27,0.01,-12.77,60.5,1028,9,8,-0.0124,0.8318,bb_bounce_6d11db98,GBPJPY,M1,bb_bounce,mean_reversion,5p,5p,london,False,False,True,60,1.0,-1.78,213,-10.99,815,0.0,0
0.8546,49.64,9.71,0.01,-9.12,110.1,1376,9,8,-0.0066,0.8672,rsi_reversal_d5789ae7,GBPJPY,M1,rsi_reversal,mean_reversion,15p,15p,london,True,True,False,60,1.8,-0.49,313,-8.63,1063,0.0,0
inf,100.0,0.0,0.0,0.04,60.0,1,0,1,0.039,0.0,atr_break_e09ce090,GBPJPY,M1,atr_break,breakout,7p,7p,newyork,True,False,True,0,1.0,0.0,0,0.0,0,0.04,1
0.81,44.99,4.15,0.0,-2.44,69.4,369,12,6,-0.0066,0.9906,donchian_break_21b25075,GBPJPY,M1,donchian_break,breakout,15p,5p,london,False,True,False,15,1.2,-0.32,87,-2.12,282,0.0,0
0.8582,47.16,2.21,0.0,-1.25,141.8,176,7,7,-0.0071,0.9616,donchian_break_97905933,GBPJPY,M1,donchian_break,breakout,ATR×1.5,ATR×1.0,newyork,True,False,True,0,2.4,0.0,0,0.41,64,-1.66,112
0.6626,42.89,5.25,0.01,-5.22,73.1,408,9,6,-0.0128,0.8821,bb_bounce_68847ed2,GBPJPY,M1,bb_bounce,mean_reversion,10p,10p,newyork,True,True,False,60,1.2,0.0,0,-2.43,157,-2.8,251
1.1623,45.28,0.49,0.0,0.23,67.9,53,7,4,0.0044,1.4044,atr_break_f4fa65c9,GBPJPY,M1,atr_break,breakout,15p,7p,london,True,True,True,30,1.1,-0.05,12,0.28,41,0.0,0
0.9087,45.78,2.19,0.0,-1.34,69.5,450,8,6,-0.003,1.0763,bb_bounce_421ccaf3,GBPJPY,M1,bb_bounce,mean_reversion,15p,5p,london,True,True,False,15,1.2,0.51,102,-1.85,348,0.0,0
0.7771,42.88,37.31,0.04,-37.01,69.8,4709,14,8,-0.0079,1.0354,wick_reversal_ed0f59d2,GBPJPY,M1,wick_reversal,mean_reversion,15p,5p,london,False,True,False,60,1.2,-4.9,1053,-32.1,3656,0.0,0
0.9166,30.94,3.2,0.0,-1.81,376.2,278,9,3,-0.0065,2.0464,bb_bounce_4d1807c8,GBPJPY,M1,bb_bounce,mean_reversion,ATR×2.0,ATR×1.0,london,True,False,False,15,6.3,-1.27,64,-0.53,214,0.0,0
0.6522,45.69,15.52,0.02,-15.38,153.0,812,16,11,-0.0189,0.7753,bb_bounce_eb8bc43b,GBPJPY,M1,bb_bounce,mean_reversion,ATR×2.0,ATR×1.0,newyork,False,False,True,15,2.5,0.0,0,-7.49,290,-7.9,522
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_08c5ef04,GBPJPY,M1,atr_break,breakout,5p,15p,newyork,True,True,True,15,0.0,0.0,0,0.0,0,0.0,0
0.8329,41.51,0.53,0.0,-0.29,66.8,53,7,3,-0.0054,1.1737,atr_break_16defd76,GBPJPY,M1,atr_break,breakout,5p,15p,london,True,True,False,15,1.1,-0.17,12,-0.12,41,0.0,0
0.7512,46.42,3.19,0.0,-2.67,62.8,321,15,6,-0.0083,0.8671,bb_bounce_86ae13cf,GBPJPY,M1,bb_bounce,mean_reversion,5p,10p,newyork,True,False,True,30,1.0,0.0,0,-0.47,105,-2.19,216
0.7886,50.4,17.46,0.02,-16.89,77.2,2272,10,9,-0.0074,0.7762,momentum_a5911685,GBPJPY,M1,momentum,trend_follow,7p,15p,newyork,False,False,False,30,1.3,0.0,0,-3.35,734,-13.55,1538
0.7315,47.9,8.21,0.01,-7.44,76.0,739,9,7,-0.0101,0.7955,momentum_599327b6,GBPJPY,M1,momentum,trend_follow,7p,15p,newyork,True,True,True,60,1.3,0.0,0,-3.16,244,-4.28,495
0.7397,48.61,51.66,0.05,-50.35,75.8,5229,10,10,-0.0096,0.7818,wick_reversal_d3505006,GBPJPY,M1,wick_reversal,mean_reversion,7p,15p,london,False,False,True,15,1.3,-11.56,1165,-38.79,4064,0.0,0
0.9711,52.36,5.12,0.01,-0.79,123.5,594,7,9,-0.0013,0.8837,hilo_break_9af471f1,GBPJPY,M1,hilo_break,breakout,15p,15p,london,False,False,False,15,2.1,-2.45,146,1.66,448,0.0,0
0.8601,47.91,14.28,0.01,-13.82,185.8,1795,11,10,-0.0077,0.9351,bb_bounce_d0265c13,GBPJPY,M1,bb_bounce,mean_reversion,ATR×1.5,ATR×1.0,newyork,False,True,False,60,3.1,0.0,0,-9.27,616,-4.55,1179
0.6516,44.34,4.3,0.0,-4.17,74.5,318,6,9,-0.0131,0.818,bb_bounce_2e4a7fd5,GBPJPY,M1,bb_bounce,mean_reversion,10p,10p,london,False,False,True,15,1.2,-0.96,72,-3.21,246,0.0,0
0.7582,47.79,5.11,0.01,-4.64,76.8,565,9,8,-0.0082,0.8284,consecutive_reversal_f3a2ad83,GBPJPY,M1,consecutive_reversal,mean_reversion,7p,15p,london,True,True,True,0,1.3,-2.53,134,-2.11,431,0.0,0
0.963,37.44,7.28,0.01,-3.01,259.7,1346,16,9,-0.0022,1.6089,wick_reversal_25c8079f,GBPJPY,M1,wick_reversal,mean_reversion,ATR×2.0,ATR×1.0,newyork,True,False,True,0,4.3,0.0,0,3.92,462,-6.93,884
1.2492,57.14,0.41,0.0,0.25,77.1,28,3,4,0.0089,0.9369,hilo_break_44ed7b3b,GBPJPY,M1,hilo_break,breakout,7p,15p,newyork,True,True,True,0,1.3,0.0,0,0.21,11,0.04,17
0.7519,46.69,28.09,0.03,-27.45,62.8,3350,14,10,-0.0082,0.8586,wick_reversal_cf8b0431,GBPJPY,M1,wick_reversal,mean_reversion,7p,7p,newyork,True,False,True,30,1.0,0.0,0,-8.32,1149,-19.12,2201
0.8433,44.69,7.48,0.01,-6.02,69.6,1177,9,11,-0.0051,1.0437,consecutive_reversal_d12e6daa,GBPJPY,M1,consecutive_reversal,mean_reversion,15p,5p,london,True,False,True,30,1.2,-2.13,261,-3.89,916,0.0,0
0.8182,42.55,3.86,0.0,-2.15,161.4,235,9,7,-0.0092,1.1046,wick_reversal_d0e8305a,GBPJPY,M1,wick_reversal,mean_reversion,ATR×2.0,ATR×1.0,newyork,True,True,False,15,2.7,0.0,0,0.01,86,-2.16,149
0.8834,47.78,3.7,0.0,-2.49,71.7,632,9,8,-0.0039,0.9653,donchian_break_48e941f3,GBPJPY,M1,donchian_break,breakout,10p,10p,london,False,True,False,60,1.2,-1.31,152,-1.18,480,0.0,0
1.2052,53.57,0.41,0.0,0.18,64.3,28,3,3,0.0065,1.0445,hilo_break_271695bf,GBPJPY,M1,hilo_break,breakout,7p,7p,newyork,True,True,True,60,1.1,0.0,0,0.27,11,-0.09,17
0.739,43.19,7.6,0.01,-6.82,69.7,727,12,5,-0.0094,0.972,momentum_aa2ccd82,GBPJPY,M1,momentum,trend_follow,15p,5p,london,True,True,False,0,1.2,-0.29,161,-6.53,566,0.0,0
