pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
0.7092,41.43,7.42,0.01,-5.92,214.1,350,10,12,-0.0169,1.0027,hilo_break_ff36c9a1,GBPJPY,hilo_break,A×4.0,A×1.0,newyork,True,True,True,0,,,3.6,7.0,1.0,,
1.2879,50.79,0.65,0.0,0.94,235.2,63,3,5,0.0149,1.2476,hilo_break_ae8019a0,GBPJPY,hilo_break,A×3.0,A×1.0,newyork,False,True,False,120,,,3.9,12.0,2.0,,
1.7474,69.84,1.07,0.0,2.3,508.6,63,3,9,0.0364,0.7546,hilo_break_1b46a381,GBPJPY,hilo_break,A×4.0,A×1.5,london,False,True,False,0,,,8.5,15.0,2.0,,
1.0299,51.16,5.39,0.01,1.42,348.1,817,9,8,0.0017,0.9831,bb_bounce_980c7547,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,False,True,0,,,5.8,,,10.0,1.5
14.7843,88.89,0.05,0.0,0.7,186.7,9,1,7,0.0781,1.848,bb_bounce_20d106e6,GBPJPY,bb_bounce,A×5.0,A×1.5,london,True,False,True,60,,,3.1,,,10.0,2.5
1.2062,65.18,1.65,0.0,1.48,560.9,112,3,7,0.0133,0.6444,bb_bounce_d0bc072e,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,True,False,120,,,9.3,,,25.0,2.5
1.1365,38.74,2.56,0.0,1.52,703.2,111,8,5,0.0137,1.7973,bb_bounce_19d7527f,GBPJPY,bb_bounce,A×5.0,A×2.0,london,True,False,True,0,,,11.7,,,25.0,2.5
0.9586,24.84,10.37,0.01,-3.19,1748.9,463,15,5,-0.0069,2.9009,bb_bounce_190563d8,GBPJPY,bb_bounce,A×4.0,A×1.5,newyork,False,False,False,120,,,29.1,,,14.0,1.5
0.982,35.58,3.39,0.0,-0.4,169.0,475,24,5,-0.0009,1.778,bb_bounce_9a3fa8c0,GBPJPY,bb_bounce,A×3.0,A×0.7,london,True,False,True,60,,,2.8,,,30.0,2.0
1.3561,38.54,1.79,0.0,4.05,1068.1,96,6,3,0.0422,2.1625,bb_bounce_e758a078,GBPJPY,bb_bounce,A×6.0,A×1.5,newyork,True,False,False,30,,,17.8,,,30.0,2.5
0.4615,25.0,0.62,0.0,-0.62,635.0,12,3,2,-0.0519,1.3846,bb_bounce_1ddb3432,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,False,True,30,,,10.6,,,10.0,2.5
0.7938,46.89,20.35,0.02,-19.05,242.9,1672,12,11,-0.0114,0.8991,bb_bounce_8403cc05,GBPJPY,bb_bounce,A×3.0,A×1.0,newyork,False,True,False,30,,,4.0,,,20.0,1.5
1.1646,42.19,3.51,0.0,4.21,800.3,301,7,9,0.014,1.5956,bb_bounce_307220f1,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,False,True,120,,,13.3,,,30.0,2.0
0.9539,36.59,2.9,0.0,-0.41,671.0,82,6,5,-0.005,1.6533,bb_bounce_3a650492,GBPJPY,bb_bounce,A×5.0,A×2.0,london,True,False,True,120,,,11.2,,,20.0,2.5
0.7746,50.62,3.53,0.0,-3.46,268.6,241,9,7,-0.0144,0.7555,bb_bounce_898db5b0,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,False,True,True,0,,,4.5,,,30.0,2.5
0.7626,30.15,4.23,0.0,-3.66,167.4,272,15,4,-0.0134,1.7669,bb_bounce_1b003616,GBPJPY,bb_bounce,A×2.0,A×0.7,london,False,False,True,120,,,2.8,,,25.0,2.5
0.5808,43.66,2.34,0.0,-2.01,236.6,71,5,3,-0.0284,0.7494,bb_bounce_3d5dd154,GBPJPY,bb_bounce,A×6.0,A×1.5,newyork,True,True,True,120,,,3.9,,,20.0,2.5
0.7953,39.74,11.5,0.01,-10.61,132.7,1155,13,6,-0.0092,1.2059,bb_bounce_19965860,GBPJPY,bb_bounce,A×2.0,A×0.7,newyork,True,True,True,60,,,2.2,,,14.0,1.5
0.6939,49.25,6.05,0.01,-5.23,409.1,199,7,6,-0.0263,0.7151,bb_bounce_1f99b61b,GBPJPY,bb_bounce,A×3.0,A×1.5,london,False,True,True,120,,,6.8,,,20.0,2.5
0.8686,28.34,12.25,0.01,-8.42,463.8,748,15,5,-0.0113,2.196,bb_bounce_f41af612,GBPJPY,bb_bounce,A×2.5,A×1.0,london,False,False,True,60,,,7.7,,,25.0,2.0
1.0237,58.3,3.27,0.0,0.39,381.6,283,6,10,0.0014,0.7321,bb_bounce_5a3b70c2,GBPJPY,bb_bounce,A×5.0,A×2.0,london,True,True,True,0,,,6.4,,,10.0,2.0
0.7207,45.24,12.63,0.01,-12.54,205.1,787,14,7,-0.0159,0.8725,bb_bounce_29a3355f,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,False,True,True,60,,,3.4,,,14.0,2.0
0.8696,50.49,13.06,0.01,-12.5,316.2,1440,11,11,-0.0087,0.8528,bb_bounce_95920fa0,GBPJPY,bb_bounce,A×3.0,A×1.5,london,False,True,True,120,,,5.3,,,10.0,1.5
0.8695,44.36,4.59,0.0,-2.98,242.0,399,16,6,-0.0075,1.0905,bb_bounce_b85e5221,GBPJPY,bb_bounce,A×2.5,A×1.0,london,True,True,True,60,,,4.0,,,20.0,2.0
0.8262,44.64,15.75,0.02,-15.3,292.7,1512,12,9,-0.0101,1.0245,bb_bounce_76f9f738,GBPJPY,bb_bounce,A×4.0,A×1.0,london,False,True,False,0,,,4.9,,,25.0,1.5
0.8455,46.92,9.34,0.01,-8.73,279.8,910,8,8,-0.0096,0.9564,bb_bounce_22a03843,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,True,False,True,0,,,4.7,,,14.0,1.5
0.8375,43.14,17.29,0.02,-14.43,502.9,1115,9,7,-0.0129,1.1038,bb_bounce_dacb0f71,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,False,False,True,30,,,8.4,,,14.0,1.5
0.893,47.55,3.08,0.0,-2.32,280.4,368,5,7,-0.0063,0.9848,bb_bounce_ddc4ae06,GBPJPY,bb_bounce,A×5.0,A×1.5,newyork,True,False,True,120,,,4.7,,,30.0,2.0
0.8019,50.0,1.75,0.0,-1.07,305.0,84,7,5,-0.0127,0.8019,bb_bounce_cf2b95a6,GBPJPY,bb_bounce,A×3.0,A×1.5,london,True,True,False,120,,,5.1,,,20.0,2.5
0.9186,41.99,4.25,0.0,-1.42,275.9,281,9,6,-0.005,1.2689,bb_bounce_99c87804,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,4.6,,,10.0,2.0
0.9488,18.71,3.06,0.0,-1.37,409.2,417,22,3,-0.0033,4.1237,bb_bounce_4e9dadf4,GBPJPY,bb_bounce,A×3.0,A×0.7,london,True,False,False,120,,,6.8,,,25.0,2.0
0.7839,54.14,12.14,0.01,-11.27,474.2,665,10,8,-0.017,0.6641,bb_bounce_a2d4ef36,GBPJPY,bb_bounce,A×4.0,A×1.5,london,False,True,False,0,,,7.9,,,25.0,2.0
1.0,58.62,0.45,0.0,0.0,283.4,29,3,5,0.0,0.7059,bb_bounce_4ca9a58f,GBPJPY,bb_bounce,A×5.0,A×1.5,newyork,False,True,True,0,,,4.7,,,10.0,2.5
0.9644,16.86,9.76,0.01,-2.31,2536.6,344,23,3,-0.0067,4.7557,bb_bounce_15f9453f,GBPJPY,bb_bounce,A×6.0,A×1.5,london,False,False,False,0,,,42.3,,,30.0,1.5
0.9863,45.86,2.87,0.0,-0.31,223.7,423,9,7,-0.0007,1.1643,bb_bounce_9de46e9d,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,True,True,30,,,3.7,,,25.0,2.0
0.767,41.78,12.31,0.01,-12.25,242.7,943,11,7,-0.013,1.0688,bb_bounce_204abb2d,GBPJPY,bb_bounce,A×4.0,A×1.0,london,True,True,False,0,,,4.0,,,30.0,1.5
1.0005,36.92,2.63,0.0,0.0,470.8,65,8,4,0.0,1.7091,bb_bounce_71666502,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,True,False,True,30,,,7.8,,,20.0,2.5
0.9063,38.53,3.96,0.0,-1.77,432.2,231,8,6,-0.0076,1.446,bb_bounce_5676647e,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,False,False,True,120,,,7.2,,,25.0,2.5
