pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork,pair_tf,pf_capped
0.8354,29.51,3.4,0.0,-2.42,7040.2,122,10,4,-0.0198,1.9956,rsi_reversal_27b5e374,USDJPY,M5,mean_reversion,7,30,70,fixed,fixed,newyork,False,True,False,60,117.3,0.0,-0.9,-1.52,0,59,63,USDJPY_M5,0.8354
0.5065,45.64,8.64,0.01,-8.52,1166.6,287,8,10,-0.0297,0.6031,rsi_reversal_b501e0e1,USDJPY,M5,mean_reversion,7,30,70,fixed,atr_mult,tokyo,False,False,True,240,19.4,-8.52,0.0,0.0,287,0,0,USDJPY_M5,0.5065
0.7778,27.78,0.75,0.0,-0.32,2450.0,18,6,2,-0.018,2.0222,rsi_reversal_59182b3a,USDJPY,M5,mean_reversion,14,28,72,fixed,atr_mult,all,True,True,False,0,40.8,-0.34,0.12,-0.1,9,5,4,USDJPY_M5,0.7778
0.6302,30.3,2.25,0.0,-1.79,2200.0,66,13,3,-0.0272,1.4494,rsi_reversal_8a171d7d,USDJPY,M5,mean_reversion,14,28,72,fixed,atr_mult,tokyo,False,True,True,60,36.7,-1.79,0.0,0.0,66,0,0,USDJPY_M5,0.6302
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_041f8989,USDJPY,M5,mean_reversion,21,25,75,atr_mult,atr_mult,all,True,True,True,120,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.6338,40.59,1.77,0.0,-1.77,751.5,101,10,8,-0.0175,0.9275,rsi_reversal_91d86554,USDJPY,M5,mean_reversion,7,20,80,fixed,fixed,newyork,False,True,False,60,12.5,0.0,-0.99,-0.78,0,46,55,USDJPY_M5,0.6338
0.6483,35.14,1.54,0.0,-0.9,2473.0,37,8,3,-0.0243,1.1968,rsi_reversal_91fd0ad1,USDJPY,M5,mean_reversion,18,25,75,atr_mult,atr_mult,all,False,True,True,240,41.2,-0.88,0.36,-0.38,18,8,11,USDJPY_M5,0.6483
0.7905,36.62,4.95,0.0,-3.58,6090.8,142,12,4,-0.0252,1.3681,rsi_reversal_d227fedd,USDJPY,M5,mean_reversion,10,28,72,atr_mult,atr_mult,london_ny,False,True,True,0,101.5,-0.19,-2.74,-0.65,19,69,54,USDJPY_M5,0.7905
1.1481,52.38,1.0,0.0,0.43,5385.7,42,6,8,0.0102,1.0437,rsi_reversal_a865b9c9,USDJPY,M5,mean_reversion,7,25,75,atr_mult,fixed,newyork,True,False,True,60,89.8,0.0,-0.89,1.32,0,13,29,USDJPY_M5,1.1481
0.8531,46.02,3.46,0.0,-3.01,5462.4,226,13,6,-0.0133,1.0007,rsi_reversal_a056ecb1,USDJPY,M5,mean_reversion,7,35,65,fixed,atr_mult,all,True,False,True,0,91.0,-5.18,0.2,1.96,87,64,75,USDJPY_M5,0.8531
0.5492,18.57,2.63,0.0,-2.21,1624.3,70,17,2,-0.0315,2.408,rsi_reversal_fdfb4d3e,USDJPY,M5,mean_reversion,18,30,70,fixed,fixed,tokyo,False,False,False,120,27.1,-2.21,0.0,0.0,70,0,0,USDJPY_M5,0.5492
