pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
1.5163,55.1,0.6,0.0,1.12,200.8,49,3,5,0.0229,1.2355,atr_break_6ce8be37,GBPJPY,M1,atr_break,breakout,A×3.0,A×1.0,newyork,True,True,True,fixed,30,3.3,0.0,0,0.16,16,0.97,33
0.9528,38.5,2.97,0.0,-0.5,160.6,226,10,5,-0.0022,1.5223,wick_reversal_e4d510e9,GBPJPY,M1,wick_reversal,mean_reversion,A×2.0,A×0.7,london,False,False,True,atr_mult,30,2.7,-0.05,50,-0.46,176,0.0,0
0.8278,41.19,16.09,0.02,-15.97,97.9,2248,14,6,-0.0071,1.1817,bb_bounce_fdf812b9,GBPJPY,M1,bb_bounce,mean_reversion,20p,10p,london,False,True,True,atr_mult,60,1.6,-0.39,500,-15.59,1748,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_7f9e28ca,GBPJPY,M1,atr_break,breakout,A×2.5,A×1.0,london,True,True,True,fixed,120,0.0,0.0,0,0.0,0,0.0,0
0.8124,42.51,8.58,0.01,-8.51,75.4,1221,9,6,-0.007,1.0989,bb_bounce_46fb5179,GBPJPY,M1,bb_bounce,mean_reversion,15p,7p,london,True,True,True,atr_mult,60,1.3,0.57,251,-9.07,970,0.0,0
2.0615,68.18,0.37,0.0,1.64,256.4,44,3,6,0.0372,0.962,atr_break_4675dd89,GBPJPY,M1,atr_break,breakout,A×3.0,A×1.5,newyork,True,True,True,atr_mult,60,4.3,0.0,0,0.94,15,0.7,29
0.0,0.0,0.04,0.0,-0.04,210.0,2,2,0,-0.0195,0.0,atr_break_04dfbfb0,GBPJPY,M1,atr_break,breakout,A×3.0,A×1.5,newyork,False,True,True,atr_mult,60,3.5,0.0,0,-0.03,1,-0.01,1
0.8024,43.04,35.13,0.04,-34.78,76.8,4782,17,12,-0.0073,1.0621,wick_reversal_f87895f8,GBPJPY,M1,wick_reversal,mean_reversion,15p,7p,london,False,False,True,atr_mult,0,1.3,-6.69,1076,-28.1,3706,0.0,0
0.7814,40.09,24.6,0.02,-24.23,103.0,2577,16,11,-0.0094,1.168,wick_reversal_d23faf1b,GBPJPY,M1,wick_reversal,mean_reversion,20p,10p,london,True,True,False,,30,1.7,-5.88,556,-18.35,2021,0.0,0
0.856,54.25,4.56,0.0,-3.38,203.2,435,8,8,-0.0078,0.7218,donchian_break_3596045e,GBPJPY,M1,donchian_break,breakout,A×5.0,A×1.5,newyork,True,True,True,fixed,30,3.4,0.0,0,0.53,156,-3.92,279
1.0044,52.47,7.71,0.01,0.2,259.9,810,9,8,0.0002,0.9098,donchian_break_e5e523e4,GBPJPY,M1,donchian_break,breakout,A×3.0,A×1.5,london,False,True,True,atr_mult,60,4.3,-0.85,197,1.05,613,0.0,0
0.6571,43.65,4.3,0.0,-3.75,220.8,181,7,6,-0.0207,0.8484,hilo_break_45e3c7d2,GBPJPY,M1,hilo_break,breakout,A×2.5,A×1.0,newyork,True,True,True,atr_mult,30,3.7,0.0,0,-0.57,61,-3.18,120
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b4e47a71,GBPJPY,M1,atr_break,breakout,15p,5p,newyork,True,False,True,fixed,30,0.0,0.0,0,0.0,0,0.0,0
0.7088,34.86,4.25,0.0,-3.35,257.8,175,6,3,-0.0191,1.3247,hilo_break_2a926681,GBPJPY,M1,hilo_break,breakout,A×2.5,A×1.0,newyork,True,False,True,atr_mult,120,4.3,0.0,0,0.48,64,-3.83,111
0.7149,39.68,5.81,0.01,-5.78,91.9,504,11,6,-0.0115,1.0866,bb_bounce_b2ec61a3,GBPJPY,M1,bb_bounce,mean_reversion,20p,10p,newyork,True,True,True,fixed,0,1.5,0.0,0,-2.37,178,-3.41,326
0.8689,46.61,14.2,0.01,-12.0,150.0,1886,9,9,-0.0064,0.9954,wick_reversal_6bdcc8ec,GBPJPY,M1,wick_reversal,mean_reversion,A×2.0,A×1.0,london,True,True,True,fixed,0,2.5,-3.32,412,-8.67,1474,0.0,0
