name,sym,sig,is_pf,oos_pf,oos_is,windows
hilo_break_ae8019a0,USDJPY,hilo_break,0.959,3.585,3.737,4
hilo_break_1b46a381,USDJPY,hilo_break,0.769,1.464,1.904,4
bb_bounce_d0bc072e,USDJPY,bb_bounce,1.102,1.782,1.617,4
bb_bounce_e758a078,USDJPY,bb_bounce,0.868,1.138,1.311,4
bb_bounce_307220f1,USDJPY,bb_bounce,0.826,0.88,1.065,4
bb_bounce_3a650492,USDJPY,bb_bounce,0.85,0.982,1.154,4
bb_bounce_1f99b61b,USDJPY,bb_bounce,1.068,1.002,0.938,4
bb_bounce_cf2b95a6,USDJPY,bb_bounce,0.97,0.867,0.895,4
bb_bounce_e7dcc942,USDJPY,bb_bounce,0.929,0.754,0.812,4
bb_bounce_b27af868,USDJPY,bb_bounce,0.959,1.158,1.208,4
bb_bounce_5016f3f9,USDJPY,bb_bounce,0.754,0.843,1.118,4
bb_bounce_4396754b,USDJPY,bb_bounce,0.835,0.891,1.067,4
