pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,session,htf_period,bb_touch_period,bb_touch_std,atr_low_vola_lb,wick_ratio,has_htf,has_bb_touch,has_atr_low_vola,has_wick_dir,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.99,65.22,0.79,0.0,-0.02,4252.2,23,3,5,-0.0008,0.528,rsi_reversal_d8151e1f,GBPJPY,M5,london,0,14,2.0,0,0.0,False,True,False,False,1,atr_mult,fixed,True,60,70.9,0.46,-0.48,0.0,5,18,0
0.8961,48.57,1.22,0.0,-0.38,2408.6,35,4,4,-0.0108,0.9488,rsi_reversal_e51e9fb3,GBPJPY,M5,london,0,30,2.0,0,0.0,False,True,False,False,1,atr_mult,fixed,True,120,40.1,-0.19,-0.19,0.0,5,30,0
0.6212,48.28,1.46,0.0,-1.17,2917.2,29,4,5,-0.0404,0.6656,rsi_reversal_3fe93554,GBPJPY,M5,london,0,20,2.0,0,0.0,False,True,False,False,1,atr_mult,fixed,True,60,48.6,-0.51,-0.67,0.0,4,25,0
0.453,30.0,3.7,0.0,-2.81,3730.0,30,8,2,-0.0936,1.0569,rsi_reversal_19957338,GBPJPY,M5,newyork,0,14,2.0,0,0.0,False,True,False,False,1,atr_mult,atr_mult,False,0,62.2,0.0,-1.18,-1.63,0,12,18
0.9614,56.41,1.74,0.0,-0.19,4523.1,39,6,5,-0.0049,0.7429,rsi_reversal_2896443b,GBPJPY,M5,london,0,20,1.5,0,0.0,False,True,False,False,1,atr_mult,fixed,True,0,75.4,0.33,-0.52,0.0,6,33,0
0.5762,42.31,1.72,0.0,-1.58,2965.4,26,6,5,-0.0608,0.7857,rsi_reversal_b884de78,GBPJPY,M5,london,0,20,2.0,0,0.0,False,True,False,False,1,atr_mult,atr_mult,True,0,49.4,-0.44,-1.14,0.0,4,22,0
0.418,26.0,3.36,0.0,-3.22,1734.0,50,8,2,-0.0644,1.1896,rsi_reversal_7ad551a9,GBPJPY,M5,newyork,0,30,2.0,0,0.0,False,True,False,False,1,atr_mult,atr_mult,False,120,28.9,0.0,-1.27,-1.95,0,20,30
0.3223,13.25,5.53,0.01,-5.24,1731.3,83,22,2,-0.0631,2.1093,rsi_reversal_b0f9137e,GBPJPY,M5,newyork,0,20,1.5,0,0.0,False,True,False,False,1,atr_mult,fixed,True,0,28.9,0.0,-0.91,-4.33,0,31,52
0.7108,29.73,1.26,0.0,-0.92,1540.5,37,5,2,-0.0249,1.6801,rsi_reversal_d9369cfb,GBPJPY,M5,london,0,0,0.0,100,0.0,False,False,True,False,1,fixed,fixed,False,0,25.7,-0.35,-0.57,0.0,5,32,0
0.709,43.59,1.76,0.0,-1.2,2176.9,39,6,4,-0.0307,0.9176,rsi_reversal_8ad68f9e,GBPJPY,M5,newyork,0,0,0.0,60,0.0,False,False,True,False,1,atr_mult,fixed,True,0,36.3,0.0,-0.38,-0.82,0,16,23
1.1289,50.0,0.76,0.0,0.39,2780.0,30,4,4,0.0131,1.1289,rsi_reversal_a6e7184a,GBPJPY,M5,london,0,0,0.0,60,0.0,False,False,True,False,1,atr_mult,fixed,True,0,46.3,-0.51,0.91,0.0,5,25,0
1.1362,46.67,1.1,0.0,0.43,3840.0,30,4,4,0.0145,1.2985,rsi_reversal_ddeac5f0,GBPJPY,M5,london,0,0,0.0,100,0.0,False,False,True,False,1,fixed,fixed,True,120,64.0,-0.49,0.92,0.0,4,26,0
1.0919,46.67,1.22,0.0,0.29,3020.0,30,4,5,0.0095,1.2479,rsi_reversal_006502b5,GBPJPY,M5,london,0,0,0.0,100,0.0,False,False,True,False,1,atr_mult,fixed,True,0,50.3,-0.32,0.61,0.0,4,26,0
0.7237,47.5,1.75,0.0,-1.19,2452.5,40,4,4,-0.0297,0.7998,rsi_reversal_98a3a7c8,GBPJPY,M5,newyork,0,0,0.0,60,0.0,False,False,True,False,1,fixed,atr_mult,True,120,40.9,0.0,-0.27,-0.91,0,16,24
0.739,48.39,1.08,0.0,-0.74,2235.5,31,3,5,-0.0237,0.7883,rsi_reversal_d161aa9c,GBPJPY,M5,london,0,0,0.0,200,0.0,False,False,True,False,1,atr_mult,fixed,True,120,37.3,-0.46,-0.27,0.0,4,27,0
0.9725,34.15,1.76,0.0,-0.13,4273.2,41,7,3,-0.0032,1.8754,rsi_reversal_45779f8a,GBPJPY,M5,newyork,0,0,0.0,100,0.0,False,False,True,False,1,atr_mult,fixed,False,60,71.2,0.0,-0.93,0.8,0,16,25
1.0504,48.28,1.06,0.0,0.16,3817.2,29,4,4,0.0054,1.1254,rsi_reversal_d16da052,GBPJPY,M5,london,0,0,0.0,60,0.0,False,False,True,False,1,fixed,atr_mult,True,60,63.6,-0.8,0.95,0.0,5,24,0
0.8628,46.67,1.31,0.0,-0.39,2420.0,30,3,5,-0.0129,0.986,rsi_reversal_bd16c9d6,GBPJPY,M5,london,0,0,0.0,100,0.0,False,False,True,False,1,atr_mult,fixed,True,0,40.3,-0.46,0.08,0.0,4,26,0
0.6673,36.0,4.49,0.0,-3.39,6744.0,50,5,2,-0.0679,1.1863,rsi_reversal_a50398ef,GBPJPY,M5,newyork,0,0,0.0,0,0.8,False,False,False,True,1,atr_mult,fixed,False,0,112.4,0.0,-3.76,0.37,0,20,30
0.621,36.84,1.59,0.0,-1.58,1215.8,57,8,5,-0.0278,1.0646,rsi_reversal_c55e8745,GBPJPY,M5,london,0,0,0.0,0,1.0,False,False,False,True,1,fixed,fixed,True,120,20.3,-0.07,-1.51,0.0,10,47,0
0.8185,34.78,2.89,0.0,-1.35,4623.9,46,6,4,-0.0293,1.5346,rsi_reversal_563a61f7,GBPJPY,M5,london,0,0,0.0,0,0.8,False,False,False,True,1,atr_mult,atr_mult,False,120,77.1,0.36,-1.71,0.0,9,37,0
0.4791,15.73,4.84,0.0,-4.45,1958.4,89,23,2,-0.05,2.5666,rsi_reversal_b7d293a5,GBPJPY,M5,newyork,0,0,0.0,0,0.8,False,False,False,True,1,atr_mult,fixed,True,60,32.6,0.0,-1.7,-2.75,0,30,59
0.2972,14.47,6.42,0.01,-6.39,2218.4,76,32,2,-0.084,1.7564,rsi_reversal_2ccdc99d,GBPJPY,M5,newyork,0,0,0.0,0,1.0,False,False,False,True,1,atr_mult,atr_mult,True,60,37.0,0.0,-2.21,-4.17,0,25,51
1.0311,51.06,1.7,0.0,0.17,3702.1,47,5,5,0.0036,0.9881,rsi_reversal_bb0cb202,GBPJPY,M5,london,0,0,0.0,0,0.8,False,False,False,True,1,atr_mult,atr_mult,True,0,61.7,0.34,-0.16,0.0,9,38,0
0.7487,36.54,1.79,0.0,-1.2,2053.8,52,8,5,-0.0231,1.3005,rsi_reversal_1983f7b1,GBPJPY,M5,london,0,0,0.0,0,1.0,False,False,False,True,1,atr_mult,atr_mult,True,60,34.2,-0.07,-1.13,0.0,9,43,0
0.6441,56.76,1.84,0.0,-1.55,3973.0,37,5,4,-0.0419,0.4907,rsi_reversal_086257d7,GBPJPY,M5,london,0,0,0.0,0,1.5,False,False,False,True,1,atr_mult,fixed,True,60,66.2,0.13,-1.68,0.0,6,31,0
0.7316,37.14,2.8,0.0,-1.85,6780.0,35,8,4,-0.0528,1.238,rsi_reversal_59bee8c3,GBPJPY,M5,london,0,0,0.0,0,1.5,False,False,False,True,1,fixed,fixed,False,60,113.0,0.26,-2.11,0.0,6,29,0
0.8597,46.67,1.58,0.0,-0.67,2293.3,45,6,5,-0.0148,0.9825,rsi_reversal_8c30b7ce,GBPJPY,M5,london,0,0,0.0,0,1.5,False,False,False,True,1,atr_mult,fixed,False,120,38.2,0.01,-0.68,0.0,8,37,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_c8489faf,GBPJPY,M5,newyork,24,30,2.0,0,0.0,True,True,False,False,2,atr_mult,atr_mult,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_44c5abb8,GBPJPY,M5,newyork,6,20,1.5,0,0.0,True,True,False,False,2,atr_mult,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_16d51d26,GBPJPY,M5,london,6,20,2.0,0,0.0,True,True,False,False,2,atr_mult,fixed,False,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_939528f6,GBPJPY,M5,london,12,20,1.5,0,0.0,True,True,False,False,2,atr_mult,fixed,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_7b337aee,GBPJPY,M5,newyork,24,30,2.0,0,0.0,True,True,False,False,2,atr_mult,fixed,True,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_b83674e9,GBPJPY,M5,london,24,0,0.0,60,0.0,True,False,True,False,2,fixed,atr_mult,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_d240146a,GBPJPY,M5,london,6,0,0.0,200,0.0,True,False,True,False,2,fixed,fixed,False,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_a1ce08c9,GBPJPY,M5,london,6,0,0.0,200,0.0,True,False,True,False,2,atr_mult,fixed,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_baf88b0e,GBPJPY,M5,newyork,6,0,0.0,60,0.0,True,False,True,False,2,fixed,fixed,False,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_7397c0bd,GBPJPY,M5,newyork,24,0,0.0,100,0.0,True,False,True,False,2,fixed,fixed,True,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_c5ce94f9,GBPJPY,M5,newyork,6,0,0.0,0,1.5,True,False,False,True,2,atr_mult,fixed,False,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_1cf33a2f,GBPJPY,M5,london,12,0,0.0,0,0.8,True,False,False,True,2,fixed,fixed,True,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_79fe178b,GBPJPY,M5,london,12,0,0.0,0,1.5,True,False,False,True,2,atr_mult,atr_mult,False,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_b9d3cb81,GBPJPY,M5,london,24,0,0.0,0,1.0,True,False,False,True,2,fixed,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_3e0ce360,GBPJPY,M5,london,6,0,0.0,0,1.5,True,False,False,True,2,fixed,fixed,False,60,0.0,0.0,0.0,0.0,0,0,0
0.7728,47.83,0.83,0.0,-0.45,1513.0,23,3,4,-0.0197,0.843,rsi_reversal_fb15666b,GBPJPY,M5,london,0,30,2.0,60,0.0,False,True,True,False,2,fixed,atr_mult,True,120,25.2,-0.5,0.05,0.0,4,19,0
0.4109,31.71,2.18,0.0,-1.77,1631.7,41,7,3,-0.0431,0.8851,rsi_reversal_d03dc044,GBPJPY,M5,newyork,0,20,1.5,200,0.0,False,True,True,False,2,atr_mult,fixed,True,0,27.2,0.0,-0.37,-1.4,0,19,22
1.041,43.75,0.77,0.0,0.07,1912.5,16,4,2,0.0044,1.3384,rsi_reversal_31b36437,GBPJPY,M5,newyork,0,14,2.0,200,0.0,False,True,True,False,2,atr_mult,fixed,True,0,31.9,0.0,0.41,-0.34,0,7,9
