pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.4987,7.34,3.99,0.0,-3.99,2100.0,109,31,2,-0.0366,6.2958,rsi_reversal_530d6697,EURJPY,M5,mean_reversion,14,30,70,atr_mult,fixed,tokyo,False,True,False,120,35.0,-3.99,0.0,0.0,109,0,0
0.4526,47.06,2.65,0.0,-1.89,5876.5,17,7,3,-0.1114,0.5092,rsi_reversal_2ded6437,EURJPY,M5,mean_reversion,14,32,68,fixed,atr_mult,newyork,True,False,False,120,97.9,0.0,-0.06,-1.84,0,3,14
0.6977,57.83,4.19,0.0,-3.27,4691.6,83,8,6,-0.0394,0.5088,rsi_reversal_2f756421,EURJPY,M5,mean_reversion,14,32,68,atr_mult,fixed,london,False,False,True,120,78.2,-0.88,-2.38,0.0,19,64,0
0.7001,60.14,11.23,0.01,-10.7,4338.8,281,6,13,-0.0381,0.464,rsi_reversal_5665ffde,EURJPY,M5,mean_reversion,7,35,65,atr_mult,fixed,london_ny,False,True,True,240,72.3,-1.09,-3.72,-5.89,47,127,107
0.5315,22.11,11.39,0.01,-11.19,1368.9,389,17,3,-0.0288,1.8727,rsi_reversal_437930b1,EURJPY,M5,mean_reversion,7,35,65,atr_mult,fixed,tokyo,False,False,True,0,22.8,-11.19,0.0,0.0,389,0,0
0.8399,37.5,1.29,0.0,-0.4,2493.8,32,6,3,-0.0124,1.3998,rsi_reversal_e182a9e0,EURJPY,M5,mean_reversion,10,20,80,atr_mult,atr_mult,tokyo,False,True,False,60,41.6,-0.4,0.0,0.0,32,0,0
0.6066,34.46,11.1,0.01,-10.75,1666.2,325,15,6,-0.0331,1.1537,rsi_reversal_c59d9050,EURJPY,M5,mean_reversion,14,35,65,atr_mult,atr_mult,london_ny,False,True,True,0,27.8,-0.71,-5.21,-4.82,47,148,130
0.6931,39.78,5.63,0.01,-5.3,8719.4,93,6,5,-0.057,1.049,rsi_reversal_9772875d,EURJPY,M5,mean_reversion,7,30,70,fixed,fixed,newyork,False,False,False,60,145.3,0.0,-2.29,-3.01,0,42,51
0.3014,21.43,1.38,0.0,-1.38,2442.9,14,7,2,-0.0984,1.105,rsi_reversal_3238671d,EURJPY,M5,mean_reversion,14,30,70,fixed,atr_mult,all,True,False,True,0,40.7,-0.91,-0.01,-0.46,7,2,5
0.2512,14.29,0.61,0.0,-0.61,1242.9,7,3,1,-0.0877,1.5073,rsi_reversal_3df00c55,EURJPY,M5,mean_reversion,21,35,65,fixed,atr_mult,newyork,True,False,False,240,20.7,0.0,-0.28,-0.34,0,2,5
0.6279,38.89,1.62,0.0,-1.11,7150.0,18,3,3,-0.0618,0.9867,rsi_reversal_01924dc5,EURJPY,M5,mean_reversion,14,35,65,atr_mult,fixed,tokyo,True,False,True,240,119.2,-1.11,0.0,0.0,18,0,0
0.3608,33.33,0.52,0.0,-0.33,3200.0,3,2,1,-0.111,0.7217,rsi_reversal_daee6f4e,EURJPY,M5,mean_reversion,18,32,68,fixed,fixed,london,True,False,False,120,53.3,-0.52,0.19,0.0,2,1,0
0.8014,55.56,1.76,0.0,-0.8,5977.8,27,3,6,-0.0297,0.6411,rsi_reversal_dea8e67b,EURJPY,M5,mean_reversion,7,20,80,fixed,fixed,all,True,True,False,60,99.6,-0.42,0.37,-0.75,10,5,12
0.3315,7.14,0.74,0.0,-0.74,1242.9,14,8,1,-0.0526,4.3097,rsi_reversal_c1d35d3e,EURJPY,M5,mean_reversion,7,20,80,atr_mult,fixed,london,True,False,False,0,20.7,-0.69,-0.05,0.0,8,6,0
0.7051,37.55,8.2,0.01,-7.96,2820.4,269,10,4,-0.0296,1.1728,rsi_reversal_72b3f2b7,EURJPY,M5,mean_reversion,14,35,65,atr_mult,fixed,london_ny,False,True,True,60,47.0,-1.94,-3.15,-2.86,43,119,107
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_8ed2845e,EURJPY,M5,mean_reversion,18,20,80,fixed,atr_mult,all,True,True,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_827f00dd,EURJPY,M5,mean_reversion,21,20,80,fixed,atr_mult,newyork,True,False,True,120,0.0,0.0,0.0,0.0,0,0,0
0.5795,26.98,20.64,0.02,-20.46,2147.0,504,16,4,-0.0406,1.568,rsi_reversal_4a00e7a8,EURJPY,M5,mean_reversion,7,35,65,fixed,atr_mult,london_ny,False,False,False,120,35.8,-2.03,-8.32,-10.1,69,234,201
