window,is_start,is_end,oos_start,oos_end,params,is_num_trades,is_win_rate,is_pf,is_sharpe,oos_num_trades,oos_win_rate,oos_pf,oos_sharpe
1,2022-01-01,2023-01-01,2023-01-01,2023-04-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",188,0.2553,0.8768,-0.494,45,0.2444,1.4224,1.6478
2,2022-04-01,2023-04-01,2023-04-01,2023-07-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",188,0.25,0.8763,-0.3769,41,0.2439,1.0023,0.1476
3,2022-07-01,2023-07-01,2023-07-01,2023-10-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",188,0.2287,0.8842,-0.3473,45,0.1333,0.3205,-6.0612
4,2022-10-01,2023-10-01,2023-10-01,2024-01-01,"{""entry_lookback"": 30, ""trail_mult"": 3.0, ""initial_sl_mult"": 2.5}",184,0.2772,0.8464,-0.6778,50,0.24,0.6515,-2.1915
5,2023-01-01,2024-01-01,2024-01-01,2024-04-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",176,0.2045,0.933,-0.1288,43,0.3023,0.7793,-1.1938
6,2023-04-01,2024-04-01,2024-04-01,2024-07-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",175,0.2286,0.7883,-0.8705,45,0.2444,0.6084,-2.3951
7,2023-07-01,2024-07-01,2024-07-01,2024-10-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",182,0.2253,0.6811,-1.5364,50,0.3,0.9027,-0.2881
8,2023-10-01,2024-10-01,2024-10-01,2025-01-01,"{""entry_lookback"": 30, ""trail_mult"": 4.0, ""initial_sl_mult"": 1.5}",186,0.2688,0.826,-0.7181,58,0.2069,0.6698,-1.5512
