window,is_start,is_end,oos_start,oos_end,params,is_num_trades,is_win_rate,is_pf,is_sharpe,oos_num_trades,oos_win_rate,oos_pf,oos_sharpe
1,2017-01-01,2018-01-01,2018-01-01,2018-04-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 5, ""trail_mult"": 5.0}",103,0.3689,1.197,1.3666,15,0.6667,6.6671,4.6775
2,2017-04-01,2018-04-01,2018-04-01,2018-07-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 5, ""trail_mult"": 5.0}",103,0.3883,1.2235,1.1115,18,0.3333,1.3744,1.2132
3,2017-07-01,2018-07-01,2018-07-01,2018-10-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 3, ""trail_mult"": 5.0}",104,0.4038,1.2611,0.9441,19,0.3158,1.6997,1.9128
4,2017-10-01,2018-10-01,2018-10-01,2019-01-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 3, ""trail_mult"": 5.0}",94,0.4149,1.5335,1.6077,20,0.35,1.8564,1.9261
5,2018-01-01,2019-01-01,2019-01-01,2019-04-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 3, ""trail_mult"": 4.0}",104,0.3942,1.8558,2.7088,18,0.2778,0.6064,-1.8104
6,2018-04-01,2019-04-01,2019-04-01,2019-07-01,"{""entry_lookback"": 40, ""higher_tf_slope_lookback"": 3, ""trail_mult"": 4.0}",95,0.3474,1.5184,1.7092,22,0.3182,1.1503,0.6798
7,2018-07-01,2019-07-01,2019-07-01,2019-10-01,"{""entry_lookback"": 30, ""higher_tf_slope_lookback"": 5, ""trail_mult"": 5.0}",98,0.3265,1.42,1.423,19,0.2632,1.1946,0.613
8,2018-10-01,2019-10-01,2019-10-01,2020-01-01,"{""entry_lookback"": 30, ""higher_tf_slope_lookback"": 2, ""trail_mult"": 5.0}",101,0.3366,1.2611,1.1254,25,0.2,0.4772,-2.7051
