strategy_name,symbol,timeframe,session,pf,winrate,max_dd_pct,trade_count,avg_hold_min,total_pnl,expectancy,payoff_ratio,max_consecutive_losses,has_htf,htf_period,has_bb_touch,bb_touch_period,bb_touch_std,has_atr_low_vola,atr_low_vola_lb,has_wick_dir,wick_ratio,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
rsi_reversal_d161aa9c,GBPJPY,M5,london,0.739,48.39,0.0,31,37.3,-0.74,-0.0237,0.7883,3,False,0,False,0,0.0,True,200,False,0.0,1,atr_mult,fixed,True,120,-0.46,-0.27,0.0,4,27,0
rsi_reversal_59bee8c3,GBPJPY,M5,london,0.7316,37.14,0.0,35,113.0,-1.85,-0.0528,1.238,8,False,0,False,0,0.0,False,0,True,1.5,1,fixed,fixed,False,60,0.26,-2.11,0.0,6,29,0
rsi_reversal_d9369cfb,GBPJPY,M5,london,0.7108,29.73,0.0,37,25.7,-0.92,-0.0249,1.6801,5,False,0,False,0,0.0,True,100,False,0.0,1,fixed,fixed,False,0,-0.35,-0.57,0.0,5,32,0
rsi_reversal_ba31e204,GBPJPY,M5,london,0.7063,41.03,0.0,39,73.5,-1.71,-0.0438,1.0153,5,False,0,True,20,1.5,False,0,True,1.5,2,fixed,atr_mult,True,0,-0.65,-1.05,0.0,7,32,0
rsi_reversal_c4186b0b,GBPJPY,M5,london,0.6477,21.57,0.0,51,37.9,-1.6,-0.0314,2.3553,16,False,0,True,20,1.5,False,0,True,1.0,2,fixed,fixed,True,60,-0.44,-1.16,0.0,9,42,0
rsi_reversal_086257d7,GBPJPY,M5,london,0.6441,56.76,0.0,37,66.2,-1.55,-0.0419,0.4907,5,False,0,False,0,0.0,False,0,True,1.5,1,atr_mult,fixed,True,60,0.13,-1.68,0.0,6,31,0
rsi_reversal_a54a5658,GBPJPY,M5,london,0.6326,45.0,0.0,20,92.5,-1.29,-0.0645,0.7732,3,False,0,False,0,0.0,True,100,True,0.8,2,atr_mult,fixed,True,120,-0.41,-0.88,0.0,3,17,0
rsi_reversal_3fe93554,GBPJPY,M5,london,0.6212,48.28,0.0,29,48.6,-1.17,-0.0404,0.6656,4,False,0,True,20,2.0,False,0,False,0.0,1,atr_mult,fixed,True,60,-0.51,-0.67,0.0,4,25,0
rsi_reversal_c55e8745,GBPJPY,M5,london,0.621,36.84,0.0,57,20.3,-1.58,-0.0278,1.0646,8,False,0,False,0,0.0,False,0,True,1.0,1,fixed,fixed,True,120,-0.07,-1.51,0.0,10,47,0
rsi_reversal_e8507f5b,GBPJPY,M5,london,0.5764,20.83,0.0,24,93.1,-1.8,-0.0751,2.1903,11,False,0,False,0,0.0,True,200,True,1.0,2,atr_mult,atr_mult,False,120,-0.91,-0.89,0.0,4,20,0
rsi_reversal_b884de78,GBPJPY,M5,london,0.5762,42.31,0.0,26,49.4,-1.58,-0.0608,0.7857,6,False,0,True,20,2.0,False,0,False,0.0,1,atr_mult,atr_mult,True,0,-0.44,-1.14,0.0,4,22,0
rsi_reversal_ea791a30,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,False,0,False,0.0,1,atr_mult,fixed,False,120,0.0,0.0,0.0,0,0,0
rsi_reversal_bf990528,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,12,False,0,0.0,False,0,False,0.0,1,atr_mult,fixed,False,120,0.0,0.0,0.0,0,0,0
rsi_reversal_d20b98db,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,24,False,0,0.0,False,0,False,0.0,1,atr_mult,fixed,True,120,0.0,0.0,0.0,0,0,0
rsi_reversal_75b07880,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,False,0,False,0.0,1,fixed,fixed,True,120,0.0,0.0,0.0,0,0,0
rsi_reversal_eef601c8,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,12,False,0,0.0,False,0,False,0.0,1,atr_mult,atr_mult,False,120,0.0,0.0,0.0,0,0,0
rsi_reversal_5fc0fd94,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,False,0,False,0.0,1,atr_mult,atr_mult,True,60,0.0,0.0,0.0,0,0,0
rsi_reversal_16d51d26,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,True,20,2.0,False,0,False,0.0,2,atr_mult,fixed,False,0,0.0,0.0,0.0,0,0,0
rsi_reversal_3e0ce360,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,False,0,True,1.5,2,fixed,fixed,False,60,0.0,0.0,0.0,0,0,0
rsi_reversal_b9d3cb81,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,24,False,0,0.0,False,0,True,1.0,2,fixed,fixed,True,0,0.0,0.0,0.0,0,0,0
rsi_reversal_79fe178b,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,12,False,0,0.0,False,0,True,1.5,2,atr_mult,atr_mult,False,60,0.0,0.0,0.0,0,0,0
rsi_reversal_1cf33a2f,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,12,False,0,0.0,False,0,True,0.8,2,fixed,fixed,True,60,0.0,0.0,0.0,0,0,0
rsi_reversal_a1ce08c9,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,True,200,False,0.0,2,atr_mult,fixed,False,120,0.0,0.0,0.0,0,0,0
rsi_reversal_d240146a,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,6,False,0,0.0,True,200,False,0.0,2,fixed,fixed,False,60,0.0,0.0,0.0,0,0,0
rsi_reversal_b83674e9,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,24,False,0,0.0,True,60,False,0.0,2,fixed,atr_mult,False,120,0.0,0.0,0.0,0,0,0
rsi_reversal_939528f6,GBPJPY,M5,london,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,True,12,True,20,1.5,False,0,False,0.0,2,atr_mult,fixed,False,120,0.0,0.0,0.0,0,0,0
