rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
627,0.0794,24.12,37.41,0.04,-37.41,1367.6,170,rsi_trend_d93f8fad,GBPJPY,M5
628,0.0782,14.4,54.64,0.05,-54.64,576.0,257,rsi_reversal_1267fc98,EURJPY,M1
629,0.0775,28.26,35.25,0.04,-35.25,1107.8,138,momentum_31690f5b,USDJPY,M1
630,0.0771,9.09,44.87,0.04,-44.74,612.9,209,bb_bounce_87b909f7,GBPJPY,M5
631,0.0768,13.67,66.13,0.07,-66.13,551.4,278,rsi_reversal_1267fc98,GBPJPY,M1
632,0.0768,33.33,27.67,0.03,-27.67,2787.5,120,donchian_break_88941f39,USDJPY,M5
633,0.0766,34.12,59.58,0.06,-59.56,930.6,296,rsi_reversal_da6a2ac4,EURJPY,M1
634,0.0763,5.0,25.62,0.03,-25.62,957.0,100,bb_break_eda60187,EURJPY,M5
635,0.0757,22.67,36.87,0.04,-36.87,742.0,150,ema_cross_05fb5502,EURJPY,M1
636,0.0743,8.84,75.51,0.08,-75.51,426.0,362,momentum_17419ccb,USDJPY,M1
637,0.0733,11.9,30.59,0.03,-30.59,477.1,126,ema_cross_13cabf4a,EURJPY,M1
638,0.0733,9.8,105.68,0.11,-105.6,1357.5,459,momentum_17419ccb,USDJPY,M5
639,0.0727,35.44,42.36,0.04,-42.36,1097.1,158,rsi_reversal_8af8a375,GBPJPY,M1
640,0.0726,6.25,23.15,0.02,-22.83,463.8,96,momentum_6a62b07c,EURJPY,M1
641,0.0723,11.48,27.18,0.03,-27.09,270.5,122,bb_bounce_ba35fab5,GBPJPY,M1
642,0.0711,25.0,8.29,0.01,-8.29,740.0,36,rsi_reversal_5999e02d,USDJPY,M1
643,0.071,25.0,6.17,0.01,-5.73,2610.0,16,rsi_reversal_9fec002c,USDJPY,M1
644,0.0709,6.33,35.68,0.04,-35.68,440.5,158,bb_bounce_87b909f7,EURJPY,M1
645,0.0704,6.6,87.33,0.09,-86.99,378.0,394,momentum_17419ccb,EURJPY,M1
646,0.0696,11.02,27.44,0.03,-27.44,399.7,118,bb_bounce_ba35fab5,EURJPY,M1
647,0.0695,14.29,18.65,0.02,-18.65,1539.8,98,rsi_reversal_93ef9480,EURJPY,M5
648,0.0692,21.95,21.63,0.02,-21.63,2729.3,82,ema_cross_b1324308,EURJPY,M5
649,0.0689,10.9,49.57,0.05,-49.44,2114.2,211,momentum_a68d18d4,USDJPY,M5
650,0.0688,12.86,13.98,0.01,-13.98,1851.4,70,rsi_reversal_93ef9480,USDJPY,M5
