name,sp0.2,sp0.3,sp0.5,sp1.0,robust
atr_break_399687a7,1.2523333333333333,1.2307666666666666,1.1887666666666667,1.09,True
atr_break_0ee74b65,1.2586000000000002,1.2279333333333333,1.1690333333333334,1.0347666666666666,True
atr_break_50bd79db,1.1795333333333333,1.1605666666666667,1.1235,1.0361,True
atr_break_d0675dfa,1.1411666666666667,1.1312666666666666,1.1118666666666666,1.0652333333333335,True
hilo_break_00369025,1.1569333333333331,1.1369666666666667,1.0979666666666665,1.0055666666666667,True
atr_break_beef6a93,1.1628333333333334,1.1399,1.0953666666666666,0.9916,True
hilo_break_80ddd660,1.1197,1.1101333333333334,1.0913666666666666,1.0464,True
hilo_break_62e0d539,1.0752333333333335,1.0675999999999999,1.0526333333333333,1.0166666666666666,True
atr_break_eacfb318,1.1121999999999999,1.0894333333333333,1.0451666666666668,0.9415666666666667,True
hilo_break_1b46a381,1.0835666666666668,1.0668,1.0338666666666667,0.9554666666666667,True
atr_break_56591bc1,1.0948,1.0727666666666666,1.0296666666666667,0.9280333333333334,True
bb_bounce_b27af868,1.0547666666666666,1.0342666666666667,0.9945333333333334,0.9018666666666665,False
bb_bounce_e758a078,1.0156666666666667,1.0063666666666666,0.9881333333333333,0.9446,False
hilo_break_b87f035e,1.0448666666666666,1.0235333333333332,0.9822333333333333,0.8869666666666666,False
bb_bounce_cf2b95a6,1.0334,1.0147,0.9782333333333333,0.8926,False
hilo_break_57debe3f,1.0299666666666667,1.0108,0.9737333333333335,0.8878666666666666,False
hilo_break_266d7125,1.0272666666666666,1.0068333333333335,0.967,0.8731333333333332,False
bb_bounce_3a650492,0.9948,0.9832000000000001,0.9605,0.9065666666666666,False
hilo_break_72fe12cf,1.0168333333333333,0.996,0.9555000000000001,0.8616333333333334,False
atr_break_593cf57b,0.9948999999999999,0.9755333333333334,0.9377999999999999,0.8485999999999999,False
hilo_break_f9921215,0.9737333333333332,0.9604666666666667,0.9346333333333333,0.8745666666666666,False
hilo_break_989eabaa,0.9913,0.9700333333333333,0.9290666666666668,0.8342,False
hilo_break_01f007b6,0.9430666666666667,0.9256666666666667,0.8917,0.8115333333333332,False
atr_break_0502777a,0.9432999999999999,0.9250666666666666,0.8899,0.8080333333333334,False
bb_bounce_d0bc072e,0.9335666666666667,0.9185333333333333,0.8891333333333334,0.8189666666666667,False
atr_break_ab8faf53,0.9270333333333333,0.9095,0.8753333333333333,0.7949,False
bb_bounce_5016f3f9,0.915,0.8977333333333334,0.8641,0.7853,False
hilo_break_ae8019a0,0.8754666666666666,0.8581333333333333,0.8245,0.7465,False
bb_bounce_e7dcc942,0.84,0.8174666666666667,0.7745333333333333,0.6779999999999999,False
