symbol,strategy,exit_method,signals_count,total_trades,total_profit,profit_factor,win_rate,calmar_ratio,max_drawdown_pct,expectancy,avg_win_loss_ratio
BTCUSDT,pullback_strict,partial_trail,4,6,0.43520846909938626,1.0735360478074514,0.6666666666666666,-0.0005159007917505723,0.07171710783004868,0.0725347448498977,0.5367680239037257
BTCUSDT,pullback_strict,atr_trailing,4,4,-0.4470996244060905,0.9244547344791869,0.5,-0.062146297348211234,0.07171710783004868,-0.11177490610152263,0.9244547344791869
BTCUSDT,breakout_confirmed,partial_trail,163,219,532.6865151335058,1.6637121925684417,0.5159817351598174,2.689607496030913,0.5373230874485021,2.432358516591351,1.5606503753296888
BTCUSDT,breakout_confirmed,atr_trailing,163,147,-42.93274494551317,0.8220104255311932,0.29931972789115646,-0.48003840646671314,0.6727633966427355,-0.29205948942525967,1.9242516779480205
BTCUSDT,reacceleration_quality,partial_trail,0,0,,,,,,,
BTCUSDT,reacceleration_quality,atr_trailing,0,0,,,,,,,
BTCUSDT,multi_tf_trend_hold,partial_trail,147,208,369.0400886934269,1.8769716376475305,0.47596153846153844,2.365623946337575,0.464465265638062,1.7742311956414756,2.066564732359402
BTCUSDT,multi_tf_trend_hold,atr_trailing,147,144,18.92734989503287,1.0898025653072956,0.3125,0.04633370108364756,0.5624750762391894,0.13143992982661715,2.397565643676051
ETHUSDT,pullback_strict,partial_trail,6,7,1.347739511190342,1.415034199986616,0.42857142857142855,0.07236638161582855,0.05261035519951009,0.1925342158843346,1.8867122666488214
ETHUSDT,pullback_strict,atr_trailing,6,5,-1.9874629669995927,0.5179996773451088,0.2,-0.1982942875819904,0.06497761358773718,-0.39749259339991855,2.071998709380435
ETHUSDT,breakout_confirmed,partial_trail,61,76,28.578680778063944,2.053083242655989,0.4868421052631579,1.0900392905781022,0.09668538842353207,0.37603527339557824,2.164060715231989
ETHUSDT,breakout_confirmed,atr_trailing,61,42,-12.527942634714375,0.566953402150808,0.21428571428571427,-0.4613513226857605,0.19364638868922027,-0.2982843484455803,2.0788291412196296
ETHUSDT,reacceleration_quality,partial_trail,25,27,-3.9203464158332175,0.7830364123507227,0.3333333333333333,-0.29191857654793246,0.10834438803117893,-0.14519801540123028,1.5660728247014453
ETHUSDT,reacceleration_quality,atr_trailing,25,19,-9.873938218292787,0.4333211553013708,0.21052631578947367,-0.42636327535810375,0.1448348779351662,-0.5196809588575151,1.6249543323801403
ETHUSDT,multi_tf_trend_hold,partial_trail,248,210,-44.4644352674756,0.38479868387340854,0.24285714285714285,-0.5647732467635346,0.6186273132869248,-0.2117354060355981,1.199666485017097
ETHUSDT,multi_tf_trend_hold,atr_trailing,248,167,-55.05402509012596,0.20942127915405281,0.10179640718562874,-0.6122835580720569,0.6960442155719951,-0.3296648208989579,1.8478348160651719
XRPUSDT,pullback_strict,partial_trail,3,3,-8.22784408338057,0.0,0.0,-0.47454943294486707,0.09232866609184193,-2.74261469446019,0.0
XRPUSDT,pullback_strict,atr_trailing,3,3,-8.22784408338057,0.0,0.0,-0.47454943294486707,0.09232866609184193,-2.74261469446019,0.0
XRPUSDT,breakout_confirmed,partial_trail,113,158,47.000490251256885,1.1901797375064471,0.5,0.25673236046576,0.501019290313817,0.297471457286436,1.1901797375064471
XRPUSDT,breakout_confirmed,atr_trailing,113,108,-44.713340460237056,0.6701880322464187,0.26851851851851855,-0.5285736822149242,0.6298062181475248,-0.41401241166886166,1.82568463956783
XRPUSDT,reacceleration_quality,partial_trail,19,16,-15.19724173560051,0.411787417760498,0.25,-0.46694600048854606,0.18732005115076455,-0.9498276084750319,1.235362253281494
XRPUSDT,reacceleration_quality,atr_trailing,19,14,-17.601360861774324,0.29225225916703107,0.14285714285714285,-0.47546895858645377,0.21147931064184514,-1.257240061555309,1.7535135550021863
XRPUSDT,multi_tf_trend_hold,partial_trail,235,320,16.05002631654222,1.0681785997389237,0.440625,-0.06234221888274537,0.42351462790022903,0.05015633223919443,1.3560565202359385
XRPUSDT,multi_tf_trend_hold,atr_trailing,235,226,-64.74422084799036,0.5361868545129543,0.2345132743362832,-0.6768649422393794,0.7758725793114178,-0.28647885330969186,1.7501948269951153
DOGEUSDT,pullback_strict,partial_trail,4,5,-5.064879446061807,0.3731248032611379,0.4,-0.30999096002722804,0.09003497204807857,-1.0129758892123615,0.5596872048917069
DOGEUSDT,pullback_strict,atr_trailing,4,4,1.7000822878774555,1.2100492859940282,0.25,0.06964508840495343,0.09003497204807857,0.4250205719693639,3.630147857982085
DOGEUSDT,breakout_confirmed,partial_trail,169,223,20.178123441166832,1.0347426623536609,0.5112107623318386,-0.07838616807349691,0.6672001518589568,0.09048485848056875,0.9893592122504302
DOGEUSDT,breakout_confirmed,atr_trailing,169,151,-65.9999924863904,0.735801101888874,0.2847682119205298,-0.6366818188993257,0.8665297837758053,-0.43708604295622777,1.8480585814883348
DOGEUSDT,reacceleration_quality,partial_trail,1,1,-0.2089429999999819,0.0,0.0,-0.13707191126796645,0.011798325032578277,-0.2089429999999819,0.0
DOGEUSDT,reacceleration_quality,atr_trailing,1,1,-0.2089429999999819,0.0,0.0,-0.13707191126796645,0.011798325032578277,-0.2089429999999819,0.0
DOGEUSDT,multi_tf_trend_hold,partial_trail,196,273,129.59695862032322,1.3415052983130673,0.46886446886446886,1.062183700040494,0.3950839914908402,0.4747141341403781,1.5196739707452716
DOGEUSDT,multi_tf_trend_hold,atr_trailing,196,189,-46.99902233561135,0.7292996471788868,0.2698412698412698,-0.5006965454238456,0.7301347935692064,-0.2486720758497955,1.973399045307576
SOLUSDT,pullback_strict,partial_trail,7,9,-4.132396541316629,0.5875547753821083,0.4444444444444444,-0.27714561416580463,0.08627022136976036,-0.4591551712574032,0.7344434692276354
SOLUSDT,pullback_strict,atr_trailing,7,7,-5.004726012265094,0.4965329840559587,0.2857142857142857,-0.2999214946412009,0.09460225600130956,-0.7149608588950134,1.2413324601398967
SOLUSDT,breakout_confirmed,partial_trail,162,213,129.32272968257243,1.4678278075895272,0.5774647887323944,1.1139762567899218,0.3861075977684416,0.60714896564588,1.0740203470167273
SOLUSDT,breakout_confirmed,atr_trailing,162,137,-4.085258030416766,0.9771388371267611,0.35036496350364965,-0.22803734054107724,0.44856603576714865,-0.029819401681874202,1.8117782605058697
SOLUSDT,reacceleration_quality,partial_trail,19,18,-20.70671043568773,0.3516564617448631,0.2777777777777778,-0.5127938457683925,0.23067907802545756,-1.1503728019826516,0.9143068005366441
SOLUSDT,reacceleration_quality,atr_trailing,19,15,-22.841888871527225,0.276716043242334,0.13333333333333333,-0.5182014171223438,0.25173490185807,-1.5227925914351483,1.7986542810751711
SOLUSDT,multi_tf_trend_hold,partial_trail,254,339,-5.0538517512373,0.9842494473571448,0.415929203539823,-0.338958028961728,0.5231318596811885,-0.01490811726028702,1.3821375218206715
SOLUSDT,multi_tf_trend_hold,atr_trailing,254,249,-60.60581617840539,0.6991253849851564,0.24096385542168675,-0.6474822122835021,0.8249328942488683,-0.24339685212211,2.2022449627032428
