pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0,0.0,2.01,0.0,-2.01,780.0,10,bb_bounce_10cf0c5d,EURJPY,M1
0.2515,26.92,4.91,0.0,-4.91,2143.8,26,bb_bounce_a3c33d1f,EURJPY,M1
0.0,0.0,0.12,0.0,-0.12,360.0,1,bb_break_93eb63af,EURJPY,M1
0.2773,13.64,14.58,0.01,-14.42,1700.0,66,donchian_break_33be330b,EURJPY,M1
0.2993,25.71,16.12,0.02,-16.03,1830.0,70,donchian_break_8f9e005c,EURJPY,M1
0.1847,17.46,14.39,0.01,-14.39,1338.1,63,donchian_break_9873bf9c,EURJPY,M1
0.0176,12.0,17.2,0.02,-17.2,258.4,75,donchian_break_a79cad69,EURJPY,M1
0.3426,34.85,14.0,0.01,-13.89,2290.9,66,donchian_break_e19d6ba9,EURJPY,M1
0.5193,33.33,6.2,0.01,-5.87,2090.0,42,donchian_break_fcc6fc54,EURJPY,M1
0.2206,11.29,15.41,0.02,-15.14,2047.7,62,ema_cross_1171ea32,EURJPY,M1
0.281,25.49,12.61,0.01,-11.6,2634.1,51,ema_cross_2449f2d6,EURJPY,M1
0.2066,48.78,8.95,0.01,-8.73,2211.2,41,ema_cross_30da9de6,EURJPY,M1
0.4387,37.04,4.83,0.0,-4.11,2388.9,27,ema_cross_53a68fa6,EURJPY,M1
0.4082,19.57,9.09,0.01,-7.88,3277.8,46,ema_cross_5cb4e2a8,EURJPY,M1
0.1261,30.43,17.1,0.02,-16.99,1594.8,69,ema_cross_99ed21ec,EURJPY,M1
0.4688,27.5,6.94,0.01,-5.98,2979.0,40,ema_cross_b9caf855,EURJPY,M1
0.3416,17.65,10.55,0.01,-9.94,3040.0,51,ema_cross_be6570c3,EURJPY,M1
0.2778,22.35,23.01,0.02,-21.71,2582.8,85,momentum_1271ced9,EURJPY,M1
0.0833,8.12,78.66,0.08,-78.32,412.9,357,momentum_17b05b7d,EURJPY,M1
0.3187,54.9,9.01,0.01,-8.69,1949.4,51,momentum_2a70dfde,EURJPY,M1
0.3079,51.58,16.78,0.02,-16.48,2219.4,95,momentum_2e7ea40d,EURJPY,M1
0.3436,52.46,10.41,0.01,-10.1,2194.4,61,momentum_611477dd,EURJPY,M1
0.1281,15.71,28.19,0.03,-27.85,743.6,140,momentum_6294ece1,EURJPY,M1
0.2046,27.66,14.95,0.01,-14.47,3367.7,47,momentum_853a37ad,EURJPY,M1
0.1162,11.29,42.01,0.04,-42.01,675.5,186,momentum_a68d18d4,EURJPY,M1
0.2818,20.95,23.83,0.02,-23.37,1870.3,105,momentum_cda52812,EURJPY,M1
0.1805,11.89,32.76,0.03,-32.19,1007.4,143,momentum_e740330d,EURJPY,M1
0.3174,52.0,16.8,0.02,-16.58,2100.6,100,momentum_e87ffb52,EURJPY,M1
0.1346,24.65,35.48,0.04,-35.48,1174.2,142,momentum_f869c0e8,EURJPY,M1
0.264,52.31,12.27,0.01,-11.65,2002.2,65,rsi_reversal_1361b9e1,EURJPY,M1
