pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.1575,12.99,18.63,0.02,-18.63,1333.2,77,rsi_trend_8cdd4186,USDJPY,M1
0.1276,45.45,21.12,0.02,-21.12,1706.7,99,rsi_trend_d066d7d9,USDJPY,M1
0.0593,21.57,25.43,0.03,-25.43,2367.6,102,bb_break_6fc3d727,USDJPY,M5
0.1902,22.54,16.54,0.02,-16.54,3338.0,71,donchian_break_1d1e6dd4,USDJPY,M5
0.0873,13.64,30.95,0.03,-30.95,1590.9,132,donchian_break_67ae5630,USDJPY,M5
0.1987,23.44,14.6,0.01,-14.59,3426.6,64,donchian_break_c9960c99,USDJPY,M5
0.13,22.89,20.88,0.02,-20.88,2812.0,83,donchian_break_c9b609d1,USDJPY,M5
0.3107,30.77,18.94,0.02,-18.94,7265.4,78,donchian_break_f969b62d,USDJPY,M5
0.158,24.32,19.45,0.02,-19.45,4009.5,74,ema_cross_0b2d6a5b,USDJPY,M5
0.2295,15.91,11.34,0.01,-11.33,11038.6,44,ema_cross_13118541,USDJPY,M5
0.2392,48.24,19.31,0.02,-19.31,6504.7,85,ema_cross_156f8a41,USDJPY,M5
0.2391,18.18,31.48,0.03,-31.1,5308.3,121,ema_cross_5809e979,USDJPY,M5
0.3642,24.14,11.07,0.01,-11.07,11560.3,58,ema_cross_5e5710c1,USDJPY,M5
0.2839,41.79,14.43,0.01,-14.43,6447.8,67,ema_cross_66822117,USDJPY,M5
0.2221,32.56,9.56,0.01,-9.56,4897.7,43,ema_cross_6e788a01,USDJPY,M5
0.3207,22.81,13.23,0.01,-13.23,6115.8,57,ema_cross_8f6badbd,USDJPY,M5
0.0907,35.17,28.98,0.03,-28.98,2408.3,145,ema_cross_902d3a73,USDJPY,M5
0.0,0.0,14.93,0.01,-14.93,512.3,65,ema_cross_b02e045d,USDJPY,M5
0.0521,26.47,19.16,0.02,-19.16,2898.5,68,ema_cross_b1324308,USDJPY,M5
0.2082,12.9,27.42,0.03,-27.42,4296.8,124,ema_cross_bdb5fe2a,USDJPY,M5
0.3178,20.31,15.06,0.02,-14.99,6281.2,64,ema_cross_deca493e,USDJPY,M5
