pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_1d9ab100,EURJPY,M1
0.1742,20.0,1.35,0.0,-1.11,948.0,5,atr_break_2b28ff6e,EURJPY,M1
0.2568,40.0,0.79,0.0,-0.63,540.0,5,atr_break_2d21e93b,EURJPY,M1
0.0884,20.0,1.07,0.0,-0.98,552.0,5,atr_break_3670354f,EURJPY,M1
0.2668,40.0,1.04,0.0,-0.81,828.0,5,atr_break_3f204b68,EURJPY,M1
0.1419,60.0,0.78,0.0,-0.66,828.0,5,atr_break_48a6b93d,EURJPY,M1
0.3295,60.0,0.7,0.0,-0.47,792.0,5,atr_break_61a09203,EURJPY,M1
0.2568,40.0,0.79,0.0,-0.63,540.0,5,atr_break_af98948f,EURJPY,M1
0.0474,20.0,0.89,0.0,-0.84,336.0,5,atr_break_b47b0723,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_bb409273,EURJPY,M1
0.0462,20.0,0.91,0.0,-0.87,468.0,5,atr_break_c10bfe85,EURJPY,M1
0.3391,40.0,0.81,0.0,-0.57,864.0,5,atr_break_cf87c78b,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_d1059904,EURJPY,M1
0.4207,40.0,0.85,0.0,-0.62,1068.0,5,atr_break_d1598998,EURJPY,M1
0.2334,17.46,15.24,0.02,-15.24,1512.4,63,atr_break_e0154dc2,EURJPY,M1
0.0,0.0,0.09,0.0,-0.09,780.0,1,atr_break_e6a5d77b,EURJPY,M1
0.3416,40.0,0.79,0.0,-0.56,564.0,5,atr_break_ee680849,EURJPY,M1
0.109,14.82,304.02,0.3,-303.78,744.6,1424,bb_bounce_441af72d,EURJPY,M1
0.1682,40.35,235.51,0.24,-235.37,1244.7,1078,bb_bounce_83e1fc34,EURJPY,M1
0.0372,6.98,344.21,0.34,-344.21,300.9,1533,donchian_break_505a9d19,EURJPY,M1
0.3983,58.14,207.35,0.21,-207.17,4643.2,1013,ema_cross_15a2128d,EURJPY,M1
0.2999,12.22,126.94,0.13,-126.16,4302.2,532,ema_cross_32a4ef54,EURJPY,M1
0.3558,17.88,214.85,0.21,-214.22,4256.2,1029,ema_cross_34064cfa,EURJPY,M1
0.0184,11.55,919.55,0.92,-919.55,454.3,4172,ema_cross_35788d4c,EURJPY,M1
0.2394,61.62,230.28,0.23,-230.13,2920.8,1076,ema_cross_43db5c70,EURJPY,M1
0.1555,17.39,432.45,0.43,-432.23,1368.2,1961,ema_cross_4d19e2c3,EURJPY,M1
0.3967,48.22,256.45,0.26,-256.29,4462.3,1151,ema_cross_581df8de,EURJPY,M1
0.3799,57.75,243.13,0.24,-243.12,4582.5,1136,ema_cross_804e84ff,EURJPY,M1
0.3776,54.47,228.89,0.23,-228.67,3945.4,1107,ema_cross_80b24f62,EURJPY,M1
0.3334,14.41,234.25,0.23,-233.52,4186.9,1062,ema_cross_85d2c704,EURJPY,M1
0.2847,11.01,287.3,0.29,-286.52,3218.5,1271,ema_cross_941775ee,EURJPY,M1
0.1788,18.28,715.91,0.72,-715.91,969.9,3282,ema_cross_9e870d04,EURJPY,M1
0.3441,16.83,247.88,0.25,-247.87,4073.5,1147,ema_cross_a6e24901,EURJPY,M1
0.1424,15.7,746.43,0.75,-746.43,804.6,3458,ema_cross_a9610170,EURJPY,M1
