window,is_start,is_end,oos_start,oos_end,params,is_num_trades,is_win_rate,is_pf,is_sharpe,oos_num_trades,oos_win_rate,oos_pf,oos_sharpe
1,2022-01-01,2023-01-01,2023-01-01,2023-04-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 200}",69,0.3043,0.9571,0.0039,11,0.5455,3.376,2.8834
2,2022-04-01,2023-04-01,2023-04-01,2023-07-01,"{""entry_lookback"": 40, ""trail_mult"": 3.0, ""regime_lookback"": 200}",82,0.378,1.161,0.5684,13,0.3846,1.4167,0.7775
3,2022-07-01,2023-07-01,2023-07-01,2023-10-01,"{""entry_lookback"": 40, ""trail_mult"": 3.0, ""regime_lookback"": 200}",72,0.375,1.4301,1.0975,13,0.1538,0.4707,-1.7374
4,2022-10-01,2023-10-01,2023-10-01,2024-01-01,"{""entry_lookback"": 40, ""trail_mult"": 3.0, ""regime_lookback"": 200}",70,0.3571,1.5167,1.2968,11,0.2727,0.5863,-1.6051
5,2023-01-01,2024-01-01,2024-01-01,2024-04-01,"{""entry_lookback"": 40, ""trail_mult"": 4.0, ""regime_lookback"": 200}",59,0.3051,1.4471,0.983,13,0.5385,1.7793,1.76
6,2023-04-01,2024-04-01,2024-04-01,2024-07-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 200}",57,0.2807,1.3614,0.7211,11,0.2727,0.3284,-3.3295
7,2023-07-01,2024-07-01,2024-07-01,2024-10-01,"{""entry_lookback"": 40, ""trail_mult"": 5.0, ""regime_lookback"": 200}",55,0.3091,1.3087,0.7061,12,0.25,1.3361,0.7133
8,2023-10-01,2024-10-01,2024-10-01,2025-01-01,"{""entry_lookback"": 40, ""trail_mult"": 4.0, ""regime_lookback"": 200}",63,0.381,1.1869,0.5624,12,0.1667,1.1772,0.5014
