window,is_start,is_end,oos_start,oos_end,params,is_num_trades,is_win_rate,is_pf,is_sharpe,oos_num_trades,oos_win_rate,oos_pf,oos_sharpe
1,2017-01-01,2018-01-01,2018-01-01,2018-04-01,"{""regime_lookback"": 200, ""regime_threshold"": 1.0, ""trail_mult"": 5.0}",56,0.4643,3.2482,2.3208,11,0.2727,0.7366,-0.711
2,2017-04-01,2018-04-01,2018-04-01,2018-07-01,"{""regime_lookback"": 200, ""regime_threshold"": 1.0, ""trail_mult"": 5.0}",55,0.4727,1.9084,2.1813,11,0.3636,1.478,1.0309
3,2017-07-01,2018-07-01,2018-07-01,2018-10-01,"{""regime_lookback"": 100, ""regime_threshold"": 0.9, ""trail_mult"": 5.0}",85,0.3294,1.3152,1.1869,18,0.1667,0.2374,-5.3417
4,2017-10-01,2018-10-01,2018-10-01,2019-01-01,"{""regime_lookback"": 200, ""regime_threshold"": 1.0, ""trail_mult"": 5.0}",59,0.322,1.3696,1.0248,11,0.2727,1.2928,0.7094
5,2018-01-01,2019-01-01,2019-01-01,2019-04-01,"{""regime_lookback"": 100, ""regime_threshold"": 0.9, ""trail_mult"": 5.0}",76,0.2763,1.1636,0.6119,11,0.1818,0.9545,-0.0134
6,2018-04-01,2019-04-01,2019-04-01,2019-07-01,"{""regime_lookback"": 100, ""regime_threshold"": 1.2, ""trail_mult"": 3.0}",37,0.3243,1.501,0.9091,14,0.4286,0.3298,-3.5746
7,2018-07-01,2019-07-01,2019-07-01,2019-10-01,"{""regime_lookback"": 100, ""regime_threshold"": 1.0, ""trail_mult"": 5.0}",57,0.2456,1.1927,0.5352,12,0.3333,1.8951,1.6053
8,2018-10-01,2019-10-01,2019-10-01,2020-01-01,"{""regime_lookback"": 100, ""regime_threshold"": 1.0, ""trail_mult"": 5.0}",57,0.2807,1.2292,0.7133,10,0.4,1.6913,1.2066
