pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,EURJPY,M5
0.1011,24.3,201.06,0.2,-201.06,4078.2,889,bb_bounce_4b9af643,EURJPY,M5
0.0281,10.94,312.29,0.31,-312.18,1616.1,1408,bb_bounce_855c42e6,EURJPY,M5
0.08,7.25,200.71,0.2,-200.71,1841.5,897,bb_bounce_87b909f7,EURJPY,M5
0.0974,13.96,131.96,0.13,-131.96,1963.5,609,bb_bounce_ba35fab5,EURJPY,M5
0.0012,1.19,339.47,0.34,-339.45,2713.7,1511,bb_bounce_c1934f40,EURJPY,M5
0.0258,15.67,101.73,0.1,-101.73,2213.9,466,bb_break_591b1a3c,EURJPY,M5
0.0181,9.67,299.11,0.3,-299.07,2380.9,1334,bb_break_d3dc0be4,EURJPY,M5
0.05,5.85,109.82,0.11,-109.82,1405.0,496,bb_break_eda60187,EURJPY,M5
0.0134,10.41,126.31,0.13,-126.31,3146.4,586,donchian_break_88941f39,EURJPY,M5
0.0018,1.7,155.73,0.16,-155.73,2807.1,765,donchian_break_c367b371,EURJPY,M5
0.024,15.37,136.66,0.14,-136.66,3145.3,644,donchian_break_c3e2df3a,EURJPY,M5
0.1761,24.75,44.3,0.04,-44.3,6427.7,202,donchian_break_c808e1f8,EURJPY,M5
0.2427,27.55,64.96,0.06,-64.7,7850.0,294,donchian_break_ff63572a,EURJPY,M5
0.0963,25.29,157.25,0.16,-157.11,4035.7,692,ema_cross_05fb5502,EURJPY,M5
0.2068,22.45,66.65,0.07,-66.65,6209.2,294,ema_cross_12b3b7f5,EURJPY,M5
0.0836,11.98,126.19,0.13,-126.19,2770.2,551,ema_cross_13cabf4a,EURJPY,M5
0.0272,5.23,138.35,0.14,-138.35,1989.7,631,ema_cross_1426d360,EURJPY,M5
0.1745,25.21,89.15,0.09,-88.2,6784.0,349,ema_cross_22facf43,EURJPY,M5
