time,open,high,low,close
2019-01-01 00:00:00,3750.62,3752.01,3735.0,3743.23
2019-01-01 00:15:00,3749.38,3749.38,3738.07,3742.12
2019-01-01 00:30:00,3742.13,3750.0,3652.72,3652.72
2019-01-01 00:45:00,3652.7,3695.33,3630.0,3690.91
2019-01-01 01:00:00,3685.65,3690.78,3663.13,3680.38
2019-01-01 01:15:00,3681.25,3682.44,3669.56,3679.19
2019-01-01 01:30:00,3674.89,3684.4,3672.13,3680.0
2019-01-01 01:45:00,3677.34,3689.96,3673.18,3681.57
2019-01-01 02:00:00,3681.0,3685.74,3678.51,3678.66
2019-01-01 02:15:00,3680.8,3684.63,3672.84,3678.03
2019-01-01 02:30:00,3679.63,3682.7,3667.64,3669.15
2019-01-01 02:45:00,3672.07,3683.02,3660.0,3678.0
2019-01-01 03:00:00,3676.06,3676.06,3656.6,3664.04
2019-01-01 03:15:00,3667.88,3673.31,3664.45,3671.05
2019-01-01 03:30:00,3670.89,3677.68,3668.87,3675.95
2019-01-01 03:45:00,3680.0,3686.45,3676.88,3677.91
2019-01-01 04:00:00,3684.68,3697.35,3680.46,3686.32
2019-01-01 04:15:00,3692.25,3695.94,3687.76,3692.79
2019-01-01 04:30:00,3692.75,3692.75,3679.98,3687.35
2019-01-01 04:45:00,3686.93,3693.3,3680.81,3693.3
2019-01-01 05:00:00,3693.85,3698.79,3683.45,3694.96
2019-01-01 05:15:00,3690.83,3690.85,3684.81,3688.85
2019-01-01 05:30:00,3688.85,3698.5,3688.85,3696.85
2019-01-01 05:45:00,3696.85,3703.25,3692.3,3693.83
2019-01-01 06:00:00,3692.89,3694.92,3688.85,3694.28
2019-01-01 06:15:00,3694.85,3699.35,3685.34,3691.65
2019-01-01 06:30:00,3691.94,3698.26,3682.49,3682.49
2019-01-01 06:45:00,3682.52,3685.36,3676.13,3681.18
2019-01-01 07:00:00,3681.18,3683.55,3679.08,3681.21
2019-01-01 07:15:00,3680.28,3682.84,3665.0,3675.24
