time,open,high,low,close
2012-01-02 23:00:00,1569.575,1569.7549999999999,1566.7735,1568.2034999999998
2012-01-02 23:15:00,1568.2185,1571.25,1568.1485,1570.5285
2012-01-02 23:30:00,1570.5435,1571.8335,1569.3825,1571.6235
2012-01-02 23:45:00,1571.5685,1572.2925,1570.05,1572.2925
2012-01-03 01:00:00,1573.7034999999998,1574.4,1572.0,1574.0045
2012-01-03 01:15:00,1573.9944999999998,1574.7894999999999,1573.3835,1574.4835
2012-01-03 01:30:00,1574.4685,1575.2245,1574.2935,1575.1345000000001
2012-01-03 01:45:00,1575.1495,1577.9,1575.0535,1577.5945
2012-01-03 02:00:00,1577.5935,1580.8999999999999,1577.5035,1580.2485000000001
2012-01-03 02:15:00,1580.2585000000001,1580.8,1578.45,1578.8135
2012-01-03 02:30:00,1578.675,1579.6834999999999,1577.9685,1578.1945
2012-01-03 02:45:00,1578.225,1578.445,1577.0965,1577.1664999999998
2012-01-03 03:00:00,1577.1415,1577.7350000000001,1574.34,1574.5235
2012-01-03 03:15:00,1574.4985,1576.3684999999998,1574.4734999999998,1575.8735000000001
2012-01-03 03:30:00,1575.8985,1580.564,1575.7935,1579.0635000000002
2012-01-03 03:45:00,1579.0785,1579.4634999999998,1578.2385000000002,1579.255
2012-01-03 04:00:00,1579.23,1579.4065,1578.96,1579.2935
2012-01-03 04:15:00,1579.26,1579.3385,1579.005,1579.3135
2012-01-03 04:30:00,1579.3385,1586.3585,1579.2134999999998,1584.375
2012-01-03 04:45:00,1584.405,1587.5885,1583.9885,1586.5784999999998
2012-01-03 05:00:00,1586.59,1587.5045,1586.4934999999998,1587.175
2012-01-03 05:15:00,1587.2135,1587.3335000000002,1584.485,1584.6965
2012-01-03 05:30:00,1584.7435,1585.8485,1584.3615,1584.8535
2012-01-03 05:45:00,1584.8435,1585.1485,1582.9385,1583.9585
2012-01-03 06:00:00,1583.9335,1589.8464999999999,1582.8635,1589.597
2012-01-03 06:15:00,1589.7245,1590.0349999999999,1587.4485,1588.19
2012-01-03 06:30:00,1588.1634999999999,1590.4785,1588.0884999999998,1588.8484999999998
2012-01-03 06:45:00,1588.8135,1590.5435,1588.2085,1589.667
2012-01-03 07:00:00,1589.6934999999999,1590.53,1586.992,1589.135
2012-01-03 07:15:00,1589.134,1589.429,1587.6850000000002,1588.99
2012-01-03 07:30:00,1588.985,1589.823,1587.7565,1587.87
2012-01-03 07:45:00,1587.81,1588.3195,1585.7725,1587.815
2012-01-03 08:00:00,1587.813,1592.7060000000001,1587.7150000000001,1589.845
2012-01-03 08:15:00,1589.805,1590.926,1587.517,1587.582
2012-01-03 08:30:00,1587.5145,1587.8899999999999,1585.0745,1585.223
2012-01-03 08:45:00,1585.233,1587.6950000000002,1585.1245,1586.309
2012-01-03 09:00:00,1586.2955,1588.3415,1585.767,1588.238
2012-01-03 09:15:00,1588.2385,1588.338,1585.5595,1585.7984999999999
2012-01-03 09:30:00,1585.8084999999999,1588.2395000000001,1585.8035,1588.1254999999999
2012-01-03 09:45:00,1588.0865,1590.65,1587.493,1589.4895
2012-01-03 10:00:00,1589.4545,1591.8045,1589.14,1590.2855
2012-01-03 10:15:00,1590.2705,1590.5695,1588.215,1590.3495
2012-01-03 10:30:00,1590.3645000000001,1590.982,1588.6695,1589.4495
2012-01-03 10:45:00,1589.412,1590.245,1588.7375,1589.5595
2012-01-03 11:00:00,1589.5814999999998,1591.221,1589.486,1590.659
2012-01-03 11:15:00,1590.669,1593.673,1590.161,1593.215
2012-01-03 11:30:00,1593.2485,1597.539,1593.2075000000002,1596.828
2012-01-03 11:45:00,1596.835,1597.7735,1595.025,1595.4095
2012-01-03 12:00:00,1595.4195,1595.765,1593.2565,1594.1
2012-01-03 12:15:00,1594.2255,1594.3635,1592.3919999999998,1592.7434999999998
2012-01-03 12:30:00,1592.7520000000002,1593.652,1591.8535,1592.565
2012-01-03 12:45:00,1592.575,1593.8400000000001,1591.8205,1592.0995
2012-01-03 13:00:00,1592.029,1592.929,1587.7400000000002,1588.0410000000002
2012-01-03 13:15:00,1588.0639999999999,1589.9750000000001,1586.0425,1588.1885
2012-01-03 13:30:00,1588.144,1591.653,1587.9445,1590.1295
2012-01-03 13:45:00,1590.0420000000001,1591.241,1588.9645,1590.6295
2012-01-03 14:00:00,1590.54,1591.0194999999999,1588.758,1590.4215000000002
