time,open,high,low,close
2017-01-01 22:00:00,1.05192,1.0520900000000002,1.05192,1.052
2017-01-01 22:15:00,1.0521500000000001,1.05244,1.05195,1.052015
2017-01-01 22:30:00,1.05195,1.052225,1.051885,1.0521500000000001
2017-01-01 22:45:00,1.05213,1.052215,1.05202,1.0520200000000002
2017-01-01 23:00:00,1.05203,1.05334,1.05202,1.0529000000000002
2017-01-01 23:15:00,1.05289,1.05291,1.0528650000000002,1.052875
2017-01-01 23:30:00,1.05291,1.05312,1.05286,1.05292
2017-01-01 23:45:00,1.052695,1.0528,1.052495,1.0525600000000002
2017-01-02 00:00:00,1.052565,1.05271,1.05241,1.052435
2017-01-02 00:15:00,1.0524399999999998,1.052495,1.0523600000000002,1.0524900000000001
2017-01-02 00:30:00,1.052485,1.0524900000000001,1.05237,1.0524
2017-01-02 00:45:00,1.05232,1.05244,1.05232,1.052435
2017-01-02 01:00:00,1.05244,1.0524749999999998,1.05236,1.0524550000000001
2017-01-02 01:15:00,1.05246,1.052665,1.05216,1.052305
2017-01-02 01:30:00,1.0523099999999999,1.0523150000000001,1.052265,1.0522900000000002
2017-01-02 01:45:00,1.052295,1.05231,1.05223,1.052305
2017-01-02 02:00:00,1.0523,1.052305,1.05178,1.05198
2017-01-02 02:15:00,1.05198,1.05205,1.05161,1.051935
2017-01-02 02:30:00,1.051875,1.05195,1.051785,1.051925
2017-01-02 02:45:00,1.0519349999999998,1.0519599999999998,1.05192,1.05194
2017-01-02 03:00:00,1.05194,1.0520399999999999,1.05192,1.05198
2017-01-02 03:15:00,1.051975,1.0520399999999999,1.05175,1.05179
2017-01-02 03:30:00,1.051785,1.052035,1.0517750000000001,1.052025
2017-01-02 03:45:00,1.051935,1.05228,1.051905,1.0521150000000001
2017-01-02 04:00:00,1.0521150000000001,1.05214,1.05203,1.05205
2017-01-02 04:15:00,1.0520450000000001,1.05207,1.05169,1.051745
2017-01-02 04:30:00,1.05174,1.0517850000000002,1.0516899999999998,1.051765
2017-01-02 04:45:00,1.0517599999999998,1.0518,1.0517400000000001,1.05176
2017-01-02 05:00:00,1.0517699999999999,1.05179,1.05173,1.05179
2017-01-02 05:15:00,1.05178,1.051785,1.05167,1.0517349999999999
2017-01-02 05:30:00,1.0517400000000001,1.051885,1.051365,1.051485
2017-01-02 05:45:00,1.0515400000000001,1.051615,1.0512299999999999,1.0513599999999999
2017-01-02 06:00:00,1.05137,1.0514649999999999,1.051105,1.051135
2017-01-02 06:15:00,1.0511300000000001,1.051545,1.0511149999999998,1.051215
2017-01-02 06:30:00,1.05122,1.05158,1.0511599999999999,1.051515
2017-01-02 06:45:00,1.05146,1.05173,1.051455,1.051565
2017-01-02 07:00:00,1.051555,1.05233,1.051555,1.05228
2017-01-02 07:15:00,1.05229,1.0523,1.05196,1.0519850000000002
2017-01-02 07:30:00,1.051985,1.0524200000000001,1.0518,1.05191
2017-01-02 07:45:00,1.0519150000000002,1.0519150000000002,1.0512700000000001,1.0516
2017-01-02 08:00:00,1.05157,1.0518450000000001,1.05152,1.051605
2017-01-02 08:15:00,1.05159,1.051635,1.0509650000000001,1.051285
2017-01-02 08:30:00,1.05128,1.05162,1.05106,1.0511949999999999
2017-01-02 08:45:00,1.05119,1.051245,1.0487549999999999,1.0489700000000002
2017-01-02 09:00:00,1.048975,1.04927,1.0477699999999999,1.0480200000000002
2017-01-02 09:15:00,1.04801,1.0484,1.0480049999999999,1.04825
2017-01-02 09:30:00,1.04825,1.0489899999999999,1.04823,1.04882
2017-01-02 09:45:00,1.04882,1.0488849999999998,1.048645,1.048735
2017-01-02 10:00:00,1.0487549999999999,1.0489600000000001,1.04854,1.048915
2017-01-02 10:15:00,1.04893,1.048945,1.0480450000000001,1.0481250000000002
2017-01-02 10:30:00,1.0481150000000001,1.0484200000000001,1.04806,1.04826
