time,open,high,low,close
2019-01-01 00:00:00,136.0,136.0,135.89,136.0
2019-01-01 00:15:00,136.0,136.0,135.73,135.92
2019-01-01 00:30:00,135.92,136.4,135.89,136.4
2019-01-01 00:45:00,136.4,137.0,136.36,136.4912258
2019-01-01 01:00:00,136.47,136.47,135.84,136.29
2019-01-01 01:15:00,136.28,136.28,135.99,136.18
2019-01-01 01:30:00,136.18,136.29,135.5,135.92
2019-01-01 01:45:00,135.91,135.91,135.25204227,135.87
2019-01-01 02:00:00,135.87,135.94,135.56,135.79
2019-01-01 02:15:00,135.78,135.79,135.11,135.39
2019-01-01 02:30:00,135.4,135.62,134.92,135.35
2019-01-01 02:45:00,135.35,135.41,134.68,135.41
2019-01-01 03:00:00,135.46,135.93,135.38,135.93
2019-01-01 03:15:00,135.95,136.24759756,135.95,136.03
2019-01-01 03:30:00,136.05,136.16,135.72,135.8
2019-01-01 03:45:00,135.799214,136.28,135.6,136.28
2019-01-01 04:00:00,136.25,139.53,136.12,138.96
2019-01-01 04:15:00,138.89,139.33,137.9,137.94
2019-01-01 04:30:00,137.9341994,138.16,137.21,137.25
2019-01-01 04:45:00,137.22,137.69,137.18,137.21
2019-01-01 05:00:00,137.21,137.38,137.2,137.35
2019-01-01 05:15:00,137.35,137.66,137.35,137.59
2019-01-01 05:30:00,137.59,137.81,137.59,137.64
2019-01-01 05:45:00,137.63,137.64,137.59,137.6
2019-01-01 06:00:00,137.6,137.7,137.6,137.61
2019-01-01 06:15:00,137.69,137.83,137.59,137.83
2019-01-01 06:30:00,137.82744058,138.0,137.8,137.8
2019-01-01 06:45:00,137.79,138.16,137.78796105,138.12
2019-01-01 07:00:00,138.12,138.4,138.12,138.4
2019-01-01 07:15:00,138.4,138.99,137.67,138.23
2019-01-01 07:30:00,138.24,138.24,137.9,137.92
2019-01-01 07:45:00,137.93,138.68,137.86,138.5
2019-01-01 08:00:00,138.51,139.09,138.45,138.9
2019-01-01 08:15:00,138.9,140.97,138.74,140.14
2019-01-01 08:30:00,140.13,140.85,140.0,140.19
2019-01-01 08:45:00,140.23,140.86,140.02,140.02
2019-01-01 09:00:00,140.0228535,140.48,139.11,139.5
2019-01-01 09:15:00,139.5,139.79,139.5,139.77
2019-01-01 09:30:00,139.76400496,139.79,139.0,139.01
2019-01-01 09:45:00,139.01,139.39,139.01,139.3
2019-01-01 10:00:00,139.30931723,139.4132355,139.3,139.4132355
2019-01-01 10:15:00,139.42,139.54760593,139.3,139.32
2019-01-01 10:30:00,139.32,139.6,139.3,139.4
2019-01-01 10:45:00,139.4,139.41,139.12,139.28657785
2019-01-01 11:00:00,139.29,139.96,139.10186861,139.85
2019-01-01 11:15:00,139.84652389,140.34,139.8,139.94
2019-01-01 11:30:00,139.95,139.95,139.45,139.45
2019-01-01 11:45:00,139.5,139.64,139.1,139.10335955
2019-01-01 12:00:00,139.10335955,139.51,138.8,139.33
2019-01-01 12:15:00,139.32214319,139.99,139.32214319,139.4
2019-01-01 12:30:00,139.39,139.58,139.3,139.58
2019-01-01 12:45:00,139.56,140.72,139.53,139.83
2019-01-01 13:00:00,139.83,139.84,139.59,139.6
2019-01-01 13:15:00,139.6,139.6,138.97,139.37
2019-01-01 13:30:00,139.37,139.6,139.37,139.5
2019-01-01 13:45:00,139.49,143.44,139.46,140.03
2019-01-01 14:00:00,140.03,140.26,138.57,139.41
2019-01-01 14:15:00,139.4,139.89,138.72,139.07
2019-01-01 14:30:00,139.07,139.29,138.84,139.29
2019-01-01 14:45:00,139.28567361,139.45,138.81,138.84
2019-01-01 15:00:00,138.87,138.91,137.61,137.67
2019-01-01 15:15:00,137.76,138.39,137.63,138.25
2019-01-01 15:30:00,138.3,138.75,138.0,138.32
2019-01-01 15:45:00,138.42,138.62,138.32,138.32
2019-01-01 16:00:00,138.33,138.51,137.89,138.19
2019-01-01 16:15:00,138.2117582,138.728898,138.2117582,138.57
2019-01-01 16:30:00,138.56,138.58,138.39,138.56
2019-01-01 16:45:00,138.55,138.69,138.4,138.61
2019-01-01 17:00:00,138.57,138.7,138.54,138.67
2019-01-01 17:15:00,138.68,138.83,138.61,138.61
2019-01-01 17:30:00,138.6,138.61,138.0,138.33
2019-01-01 17:45:00,138.33,138.34,137.75,137.81
2019-01-01 18:00:00,137.91,137.91,136.53,136.76
2019-01-01 18:15:00,136.69,137.82,136.44,137.54
2019-01-01 18:30:00,137.54205551,137.81,135.97,136.48
2019-01-01 18:45:00,136.63,137.38,136.2,137.18
2019-01-01 19:00:00,137.18,138.4,137.18,138.33
2019-01-01 19:15:00,138.4,138.68,137.77,138.08
2019-01-01 19:30:00,138.22,140.37,138.22,139.89589827
2019-01-01 19:45:00,140.0374272,141.54,139.61,140.9293295
2019-01-01 20:00:00,141.07,148.15192358,140.91806502,145.5
2019-01-01 20:15:00,145.50334898,147.15,143.0,144.73
2019-01-01 20:30:00,144.73,145.14,143.1,143.8852851
2019-01-01 20:45:00,143.8852851,144.58,143.4272697,144.52929769
2019-01-01 21:00:00,144.37,145.54,144.0,144.16
2019-01-01 21:15:00,144.18,145.06,144.0,144.86
2019-01-01 21:30:00,144.88,145.4,144.0,144.25
2019-01-01 21:45:00,144.25,144.25,143.24,143.35
2019-01-01 22:00:00,143.35,144.2,143.33,143.42
2019-01-01 22:15:00,143.43,143.44,142.58,142.84
2019-01-01 22:30:00,142.84,143.2,142.28,143.19
2019-01-01 22:45:00,143.19,144.29,142.96,143.59
2019-01-01 23:00:00,143.59,144.2,143.03,143.996331
2019-01-01 23:15:00,143.93,146.31,143.77,145.51
2019-01-01 23:30:00,145.58,145.97,143.65,144.08
2019-01-01 23:45:00,144.07590483,145.0,143.7,145.0
2019-01-02 00:00:00,145.05,146.22,144.78,145.61
2019-01-02 00:15:00,145.63,146.0,144.87,145.52
2019-01-02 00:30:00,145.43,145.46,144.71101065,145.18
2019-01-02 00:45:00,145.11240285,146.09,145.11240285,145.46201884
2019-01-02 01:00:00,145.59,145.79,144.76,145.08803846
2019-01-02 01:15:00,145.03,145.18,144.68085102,145.07
2019-01-02 01:30:00,145.07,145.79873734,145.01,145.79873734
2019-01-02 01:45:00,145.54,145.61,143.86,144.0
2019-01-02 02:00:00,144.0,144.69346583,143.99,144.6
2019-01-02 02:15:00,144.59390533,144.6,144.49,144.6
2019-01-02 02:30:00,144.59836376,144.96,144.44,144.81
2019-01-02 02:45:00,144.69,144.85,144.38,144.85
2019-01-02 03:00:00,144.88,145.98,144.83,145.18
2019-01-02 03:15:00,145.17,145.31,144.93,145.26
2019-01-02 03:30:00,145.25,145.3,144.8,144.8
2019-01-02 03:45:00,144.81,144.91,144.61,144.65
2019-01-02 04:00:00,144.65,144.98,144.52,144.89
2019-01-02 04:15:00,144.76,144.96,144.67,144.89629938
2019-01-02 04:30:00,144.9,145.28,144.83,145.28
2019-01-02 04:45:00,145.17,145.37,145.17,145.26
2019-01-02 05:00:00,145.25692022,145.25692022,144.87,144.87
2019-01-02 05:15:00,144.87,144.87,144.71,144.76
2019-01-02 05:30:00,144.75567726,144.97,144.75,144.83
2019-01-02 05:45:00,144.88,145.06,144.67,144.82
2019-01-02 06:00:00,144.81,145.11,144.78,145.11
2019-01-02 06:15:00,145.11,145.39,144.99,144.99
2019-01-02 06:30:00,144.98,145.0,144.59,144.59
2019-01-02 06:45:00,144.68,145.11,144.68,145.11
2019-01-02 07:00:00,145.1,149.4,145.1,149.19
2019-01-02 07:15:00,149.2,149.4,147.5557258,148.45
2019-01-02 07:30:00,148.45,150.92,148.37261885,148.83
2019-01-02 07:45:00,148.82,149.83,148.58,149.68
2019-01-02 08:00:00,149.68,152.0,149.68,151.88
2019-01-02 08:15:00,151.88058739,153.19987837,150.75,151.49
2019-01-02 08:30:00,151.51,151.82,150.43,150.72
2019-01-02 08:45:00,150.79,151.05,150.6,150.63
2019-01-02 09:00:00,150.77,150.77,149.71138895,150.56
2019-01-02 09:15:00,150.58,151.34729696,150.13,151.32
2019-01-02 09:30:00,151.32,152.19,151.15,151.79
2019-01-02 09:45:00,151.65,151.65,150.37,150.77
2019-01-02 10:00:00,150.77,151.54,150.5,150.61
2019-01-02 10:15:00,150.61029582,151.71,150.61,151.5
2019-01-02 10:30:00,151.49,155.0,151.38,154.02
2019-01-02 10:45:00,154.06,155.81,153.08,155.15
2019-01-02 11:00:00,155.14,155.23,153.15,154.65
2019-01-02 11:15:00,154.44,155.77,154.18137258,154.97
2019-01-02 11:30:00,154.97,155.45,153.67,154.82
2019-01-02 11:45:00,154.85,154.96,153.99,154.07
2019-01-02 12:00:00,154.11,154.5,152.51,153.5
2019-01-02 12:15:00,153.5,153.89,152.74,153.37
2019-01-02 12:30:00,153.38,154.39263532,153.24,154.31
2019-01-02 12:45:00,154.31,154.64,154.25,154.46
2019-01-02 13:00:00,154.48,157.49,153.79,156.24
2019-01-02 13:15:00,156.24,156.88,155.29,155.99
2019-01-02 13:30:00,155.99,159.23983889,155.55,157.79
2019-01-02 13:45:00,157.8,158.79,157.61,158.49
2019-01-02 14:00:00,158.49,158.75,156.19,156.78
